Data Set, Avg Accuracy, Std. Dev, Optimized Acc, Std. Dev, test Accuracy
Alizadeh-2000-v1, 0.850000, 0.165738, 0.783333, 0.158114, 0.687500
Alizadeh-2000-v2, 0.930000, 0.094868, 0.940000, 0.069921, 0.983333
Alizadeh-2000-v3, 0.850000, 0.143372, 0.850000, 0.117851, 0.900000
Armstrong-2002-v1, 0.863636, 0.088348, 0.863636, 0.098193, 0.900000
Armstrong-2002-v2, 0.781818, 0.257843, 0.845455, 0.205748, 0.800000
Bhattacharjee-2001, 0.803125, 0.048969, 0.868750, 0.060381, 0.830000
Bittner-2000, 0.716667, 0.137212, 0.633333, 0.233069, 0.571429
Bredel-2005, 0.700000, 0.120761, 0.712500, 0.144938, 0.830000
Chen-2002, 0.939286, 0.024105, 0.914286, 0.041921, 0.842857
Chowdary-2006, 0.912500, 0.125693, 0.900000, 0.189113, 0.885000
Dyrskjot-2003, 0.800000, 0.204879, 0.733333, 0.140546, 0.562500
Garber-2001, 0.660000, 0.164655, 0.640000, 0.107497, 0.730769
Golub-1999-v1, 0.827273, 0.124575, 0.845455, 0.113788, 0.850000
Golub-1999-v2, 0.754545, 0.148763, 0.790909, 0.128921, 0.821429
Gordon-2002, 0.920690, 0.081358, 0.937931, 0.060386, 0.944444
Khan-2001_database, 0.876923, 0.131746, 0.861538, 0.101274, 0.900000
Laiho-2007_database, 0.750000, 0.238953, 0.783333, 0.261170, 0.685714
Lapointe-2004-v1, 0.636364, 0.113384, 0.563636, 0.140836, 0.646154
Lapointe-2004-v2, 0.700000, 0.089640, 0.664706, 0.103940, 0.740909
Liang-2005, 0.733333, 0.086066, 0.750000, 0.180021, 0.771429
Nutt-2003-v1, 0.475000, 0.184466, 0.500000, 0.117851, 0.550000
Nutt-2003-v2, 0.750000, 0.235702, 0.650000, 0.210819, 0.580000
Nutt-2003-v3, 0.700000, 0.105409, 0.800000, 0.281091, 0.850000
Pomeroy-2002-v1, 0.800000, 0.094281, 0.700000, 0.169967, 0.766667
Pomeroy-2002-v2, 0.400000, 0.210819, 0.283333, 0.112491, 0.525000
Ramaswamy-2001_database, 0.516667, 0.142508, 0.610000, 0.049814, 0.650000
Risinger-2003, 0.583333, 0.180021, 0.616667, 0.176558, 0.450000
Shipp-2002-v1, 0.758333, 0.026352, 0.766667, 0.129099, 0.806667
Singh-2002, 0.875000, 0.088388, 0.843750, 0.103120, 0.825000
Su-2001, 0.771429, 0.113189, 0.785714, 0.103783, 0.800000
Tomlins-2006-v1, 0.737500, 0.137563, 0.718750, 0.115056, 0.775000
Tomlins-2006-v2, 0.685714, 0.131277, 0.657143, 0.142061, 0.711111
West-2001, 0.800000, 0.178730, 0.812500, 0.147314, 0.622222
Yeoh-2002-v1, 0.825641, 0.010811, 0.794872, 0.220903, 0.806122
Yeoh-2002-v2, 0.587179, 0.090008, 0.656410, 0.083042, 0.712245
