Data Set, Avg Accuracy, Std. Dev, Optimized Acc, Std. Dev, test Accuracy, Class Number
Alizadeh-2000-v1, 0.841667, 0.168737, 0.691667, 0.254739, 0.700000, 2.000000
Bittner-2000, 0.716667, 0.222916, 0.658333, 0.237171, 0.714286, 2.000000
Bredel-2005, 0.425000, 0.237171, 0.775000, 0.275126, 0.780000, 2.000000
Alizadeh-2000-v3, 0.820000, 0.113529, 0.840000, 0.126491, 0.850000, 2.000000
Armstrong-2002-v1, 0.693333, 0.191679, 0.856667, 0.198793, 0.857143, 2.000000
Alizadeh-2000-v1, 0.841667, 0.168737, 0.691667, 0.254739, 0.700000, 3.000000
Bittner-2000, 0.800000, 0.172133, 0.683333, 0.253981, 0.671429, 3.000000
Alizadeh-2000-v2, 0.980000, 0.063246, 0.880000, 0.252982, 0.925000, 2.000000
Armstrong-2002-v2, 0.950000, 0.112491, 0.930000, 0.120134, 0.757143, 2.000000
Bredel-2005, 0.425000, 0.237171, 0.775000, 0.275126, 0.780000, 3.000000
Alizadeh-2000-v1, 0.841667, 0.168737, 0.691667, 0.254739, 0.700000, 4.000000
Bittner-2000, 0.800000, 0.172133, 0.683333, 0.253981, 0.671429, 4.000000
Alizadeh-2000-v3, 0.880000, 0.103280, 0.880000, 0.103280, 0.833333, 3.000000
Armstrong-2002-v1, 0.706667, 0.194238, 0.823333, 0.252909, 0.907143, 3.000000
Alizadeh-2000-v1, 0.841667, 0.168737, 0.691667, 0.254739, 0.700000, 5.000000
Bittner-2000, 0.800000, 0.172133, 0.683333, 0.253981, 0.671429, 5.000000
Alizadeh-2000-v2, 0.920000, 0.139841, 0.860000, 0.189737, 0.983333, 3.000000
Bredel-2005, 0.425000, 0.237171, 0.775000, 0.275126, 0.780000, 4.000000
Armstrong-2002-v2, 0.950000, 0.080508, 0.930000, 0.090880, 0.735714, 3.000000
Alizadeh-2000-v1, 0.841667, 0.168737, 0.691667, 0.254739, 0.700000, 6.000000
Alizadeh-2000-v3, 0.880000, 0.103280, 0.880000, 0.103280, 0.833333, 4.000000
Bittner-2000, 0.800000, 0.172133, 0.683333, 0.253981, 0.671429, 6.000000
Bhattacharjee-2001, 0.906985, 0.067903, 0.906985, 0.067903, 0.812500, 2.000000
Armstrong-2002-v1, 0.736667, 0.204547, 0.830000, 0.136490, 0.885714, 4.000000
Bredel-2005, 0.425000, 0.237171, 0.775000, 0.275126, 0.780000, 5.000000
Alizadeh-2000-v1, 0.841667, 0.168737, 0.691667, 0.254739, 0.700000, 7.000000
Bittner-2000, 0.800000, 0.172133, 0.683333, 0.253981, 0.671429, 7.000000
Alizadeh-2000-v2, 0.940000, 0.096609, 0.920000, 0.139841, 0.983333, 4.000000
Alizadeh-2000-v3, 0.880000, 0.103280, 0.880000, 0.103280, 0.833333, 5.000000
Alizadeh-2000-v1, 0.841667, 0.168737, 0.691667, 0.254739, 0.700000, 8.000000
Armstrong-2002-v2, 0.950000, 0.080508, 0.930000, 0.090880, 0.735714, 4.000000
Bittner-2000, 0.800000, 0.172133, 0.683333, 0.253981, 0.671429, 8.000000
Bredel-2005, 0.425000, 0.237171, 0.775000, 0.275126, 0.780000, 6.000000
Armstrong-2002-v1, 0.810000, 0.206110, 0.810000, 0.190548, 0.785714, 5.000000
Alizadeh-2000-v1, 0.841667, 0.168737, 0.691667, 0.254739, 0.700000, 9.000000
