Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.909524
Alizadeh-2000-v2, 0.960000
Alizadeh-2000-v3, 0.820000
Armstrong-2002-v1, 0.931818
Armstrong-2002-v2, 0.896970
Bhattacharjee-2001, 0.896591
Bittner-2000, 0.800000
Bredel-2005, 0.650000
Chen-2002, 0.924138
Chowdary-2006, 0.964706
Dyrskjot-2003, 0.628571
Garber-2001, 0.738182
Golub-1999-v1, 0.912121
Golub-1999-v2, 0.706061
Gordon-2002, 1.000000
Khan-2001_database, 0.846154
Laiho-2007_database, 0.866667
Lapointe-2004-v1, 0.589394
Lapointe-2004-v2, 0.750980
Liang-2005, 0.900000
Nutt-2003-v1, 0.525000
Nutt-2003-v2, 0.620000
Nutt-2003-v3, 0.900000
Pomeroy-2002-v1, 0.640000
Pomeroy-2002-v2, 0.471429
Ramaswamy-2001_database, 0.450323
Risinger-2003, 0.671429
Shipp-2002-v1, 0.885897
Singh-2002, 0.780147
Su-2001, 0.657143
Tomlins-2006-v1, 0.749265
Tomlins-2006-v2, 0.798095
West-2001, 0.675000
Yeoh-2002-v1, 0.879103
Yeoh-2002-v2, 0.366538
