Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.971429
Alizadeh-2000-v2, 0.980000
Alizadeh-2000-v3, 0.880000
Armstrong-2002-v1, 0.945455
Armstrong-2002-v2, 0.948485
Bhattacharjee-2001, 0.956818
Bittner-2000, 0.780952
Bredel-2005, 0.850000
Chen-2002, 0.944335
Chowdary-2006, 0.892647
Dyrskjot-2003, 0.871429
Garber-2001, 0.778182
Golub-1999-v1, 0.965152
Golub-1999-v2, 0.950000
Gordon-2002, 1.000000
Khan-2001_database, 0.851648
Laiho-2007_database, 0.900000
Lapointe-2004-v1, 0.640909
Lapointe-2004-v2, 0.658170
Liang-2005, 0.866667
Nutt-2003-v1, 0.700000
Nutt-2003-v2, 0.910000
Nutt-2003-v3, 1.000000
Pomeroy-2002-v1, 0.746667
Pomeroy-2002-v2, 0.819048
Ramaswamy-2001_database, 0.645161
Risinger-2003, 0.704762
Shipp-2002-v1, 0.806410
Singh-2002, 0.719853
Su-2001, 0.892857
Tomlins-2006-v1, 0.784559
Tomlins-2006-v2, 0.662857
West-2001, 0.850000
Yeoh-2002-v1, 0.974872
Yeoh-2002-v2, 0.592692
