Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.676190
Alizadeh-2000-v2, 0.900000
Alizadeh-2000-v3, 0.700000
Armstrong-2002-v1, 0.846970
Armstrong-2002-v2, 0.862121
Bhattacharjee-2001, 0.839962
Bittner-2000, 0.804762
Bredel-2005, 0.700000
Chen-2002, 0.847537
Chowdary-2006, 0.916176
Dyrskjot-2003, 0.747619
Garber-2001, 0.567273
Golub-1999-v1, 0.895455
Golub-1999-v2, 0.843939
Gordon-2002, 0.965517
Khan-2001_database, 0.745055
Laiho-2007_database, 0.833333
Lapointe-2004-v1, 0.693939
Lapointe-2004-v2, 0.659477
Liang-2005, 0.766667
Nutt-2003-v1, 0.425000
Nutt-2003-v2, 0.690000
Nutt-2003-v3, 0.550000
Pomeroy-2002-v1, 0.660000
Pomeroy-2002-v2, 0.504762
Ramaswamy-2001_database, 0.604946
Risinger-2003, 0.542857
Shipp-2002-v1, 0.676923
Singh-2002, 0.793382
Su-2001, 0.678571
Tomlins-2006-v1, 0.580882
Tomlins-2006-v2, 0.594286
West-2001, 0.900000
Yeoh-2002-v1, 0.995000
Yeoh-2002-v2, 0.673462
