Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.823810
Alizadeh-2000-v2, 1.000000
Alizadeh-2000-v3, 0.820000
Armstrong-2002-v1, 0.895455
Armstrong-2002-v2, 0.965152
Bhattacharjee-2001, 0.926136
Bittner-2000, 0.738095
Bredel-2005, 0.825000
Chen-2002, 0.895813
Chowdary-2006, 0.988235
Dyrskjot-2003, 0.819048
Garber-2001, 0.792727
Golub-1999-v1, 0.930303
Golub-1999-v2, 0.913636
Gordon-2002, 0.951724
Khan-2001_database, 0.940659
Laiho-2007_database, 0.800000
Lapointe-2004-v1, 0.627273
Lapointe-2004-v2, 0.624837
Liang-2005, 0.933333
Nutt-2003-v1, 0.575000
Nutt-2003-v2, 0.650000
Nutt-2003-v3, 0.733333
Pomeroy-2002-v1, 0.666667
Pomeroy-2002-v2, 0.614286
Ramaswamy-2001_database, 0.598280
Risinger-2003, 0.528571
Shipp-2002-v1, 0.855128
Singh-2002, 0.758088
Su-2001, 0.835714
Tomlins-2006-v1, 0.736765
Tomlins-2006-v2, 0.580000
West-2001, 0.850000
Yeoh-2002-v1, 0.944487
Yeoh-2002-v2, 0.678718
