Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.442857
Alizadeh-2000-v2, 0.680000
Alizadeh-2000-v3, 0.340000
Armstrong-2002-v1, 0.672727
Armstrong-2002-v2, 0.378788
Bhattacharjee-2001, 0.687121
Bittner-2000, 0.514286
Bredel-2005, 0.600000
Chen-2002, 0.583251
Chowdary-2006, 0.595588
Dyrskjot-2003, 0.471429
Garber-2001, 0.605455
Golub-1999-v1, 0.654545
Golub-1999-v2, 0.518182
Gordon-2002, 0.827586
Khan-2001_database, 0.358242
Laiho-2007_database, 0.800000
Lapointe-2004-v1, 0.572727
Lapointe-2004-v2, 0.374510
Liang-2005, 0.766667
Nutt-2003-v1, 0.250000
Nutt-2003-v2, 0.520000
Nutt-2003-v3, 0.666667
Pomeroy-2002-v1, 0.720000
Pomeroy-2002-v2, 0.147619
Ramaswamy-2001_database, 0.611613
Risinger-2003, 0.471429
Shipp-2002-v1, 0.757692
Singh-2002, 0.511765
Su-2001, 0.828571
Tomlins-2006-v1, 0.521324
Tomlins-2006-v2, 0.338095
West-2001, 0.500000
Yeoh-2002-v1, 0.824103
Yeoh-2002-v2, 0.719231
