Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.790476
Alizadeh-2000-v2, 0.820000
Alizadeh-2000-v3, 0.580000
Armstrong-2002-v1, 0.672727
Armstrong-2002-v2, 0.378788
Bhattacharjee-2001, 0.723864
Bittner-2000, 0.714286
Bredel-2005, 0.675000
Chen-2002, 0.888916
Chowdary-2006, 0.798529
Dyrskjot-2003, 0.471429
Garber-2001, 0.676364
Golub-1999-v1, 0.654545
Golub-1999-v2, 0.518182
Gordon-2002, 0.827586
Khan-2001_database, 0.659341
Laiho-2007_database, 0.800000
Lapointe-2004-v1, 0.681818
Lapointe-2004-v2, 0.658824
Liang-2005, 0.800000
Nutt-2003-v1, 0.300000
Nutt-2003-v2, 0.520000
Nutt-2003-v3, 0.516667
Pomeroy-2002-v1, 0.720000
Pomeroy-2002-v2, 0.147619
Ramaswamy-2001_database, 0.164516
Risinger-2003, 0.585714
Shipp-2002-v1, 0.789744
Singh-2002, 0.744853
Su-2001, 0.257143
Tomlins-2006-v1, 0.680147
Tomlins-2006-v2, 0.662857
West-2001, 0.525000
Yeoh-2002-v1, 0.824103
Yeoh-2002-v2, 0.326538
