Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.800000
Alizadeh-2000-v2, 0.900000
Alizadeh-2000-v3, 0.720000
Armstrong-2002-v1, 0.983333
Armstrong-2002-v2, 0.809091
Bhattacharjee-2001, 0.877841
Bittner-2000, 0.580952
Bredel-2005, 0.750000
Chen-2002, 0.881773
Chowdary-2006, 0.976471
Dyrskjot-2003, 0.790476
Garber-2001, 0.740000
Golub-1999-v1, 0.898485
Golub-1999-v2, 0.828788
Gordon-2002, 0.965517
Khan-2001_database, 0.734066
Laiho-2007_database, 0.800000
Lapointe-2004-v1, 0.730303
Lapointe-2004-v2, 0.647712
Liang-2005, 0.833333
Nutt-2003-v1, 0.500000
Nutt-2003-v2, 0.590000
Nutt-2003-v3, 0.766667
Pomeroy-2002-v1, 0.693333
Pomeroy-2002-v2, 0.509524
Ramaswamy-2001_database, 0.559570
Risinger-2003, 0.704762
Shipp-2002-v1, 0.771795
Singh-2002, 0.852941
Su-2001, 0.735714
Tomlins-2006-v1, 0.678676
Tomlins-2006-v2, 0.606667
West-2001, 0.800000
Yeoh-2002-v1, 0.904359
Yeoh-2002-v2, 0.442821
