Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.642857
Alizadeh-2000-v2, 0.820000
Alizadeh-2000-v3, 0.820000
Armstrong-2002-v1, 0.893939
Armstrong-2002-v2, 0.831818
Bhattacharjee-2001, 0.791288
Bittner-2000, 0.514286
Bredel-2005, 0.650000
Chen-2002, 0.902956
Chowdary-2006, 0.894118
Dyrskjot-2003, 0.742857
Garber-2001, 0.512727
Golub-1999-v1, 0.840909
Golub-1999-v2, 0.898485
Gordon-2002, 0.993103
Khan-2001_database, 0.881319
Laiho-2007_database, 0.833333
Lapointe-2004-v1, 0.768182
Lapointe-2004-v2, 0.818301
Liang-2005, 0.800000
Nutt-2003-v1, 0.625000
Nutt-2003-v2, 0.570000
Nutt-2003-v3, 0.616667
Pomeroy-2002-v1, 0.740000
Pomeroy-2002-v2, 0.552381
Ramaswamy-2001_database, 0.617419
Risinger-2003, 0.447619
Shipp-2002-v1, 0.921795
Singh-2002, 0.586765
Su-2001, 0.864286
Tomlins-2006-v1, 0.858088
Tomlins-2006-v2, 0.635238
West-2001, 0.500000
Yeoh-2002-v1, 0.964103
Yeoh-2002-v2, 0.733974
