Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.619048
Alizadeh-2000-v2, 0.680000
Alizadeh-2000-v3, 0.540000
Armstrong-2002-v1, 0.345455
Armstrong-2002-v2, 0.345455
Bhattacharjee-2001, 0.687121
Bittner-2000, 0.419048
Bredel-2005, 0.600000
Chen-2002, 0.728818
Chowdary-2006, 0.797059
Dyrskjot-2003, 0.595238
Garber-2001, 0.605455
Golub-1999-v1, 0.654545
Golub-1999-v2, 0.500000
Gordon-2002, 0.875862
Khan-2001_database, 0.373626
Laiho-2007_database, 0.800000
Lapointe-2004-v1, 0.590909
Lapointe-2004-v2, 0.533987
Liang-2005, 0.766667
Nutt-2003-v1, 0.475000
Nutt-2003-v2, 0.520000
Nutt-2003-v3, 1.000000
Pomeroy-2002-v1, 0.720000
Pomeroy-2002-v2, 0.233333
Ramaswamy-2001_database, 0.065591
Risinger-2003, 0.738095
Shipp-2002-v1, 0.757692
Singh-2002, 0.742647
Su-2001, 0.178571
Tomlins-2006-v1, 0.427941
Tomlins-2006-v2, 0.539048
West-2001, 0.525000
Yeoh-2002-v1, 0.824103
Yeoh-2002-v2, 0.060256
