Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1,0.75,530
Alizadeh-2000-v2,1,1030
Alizadeh-2000-v3,0.75,1054
Armstrong-2002-v1,1,562
Armstrong-2002-v2,0.785714,1102
Bhattacharjee-2001,0.85,816
Bittner-2000,0.857143,1119
Bredel-2005,0.8,859
Chen-2002,0.942857,44
Chowdary-2006,0.9,99
Dyrskjot-2003,0.625,607
Garber-2001,0.692308,2256
Golub-1999-v1,1,899
Golub-1999-v2,0.928571,938
Gordon-2002,1,809
Khan-2001_database,1,544
Laiho-2007_database,0.571429,1109
Lapointe-2004-v1,0.846154,794
Lapointe-2004-v2,0.636364,1283
Liang-2005,1,705
Nutt-2003-v1,0.6,694
Nutt-2003-v2,0.8,549
Nutt-2003-v3,0.75,563
Pomeroy-2002-v1,0.333333,427
Pomeroy-2002-v2,0.625,680
Ramaswamy-2001_database,0.631579,684
Risinger-2003,0.75,883
Shipp-2002-v1,0.666667,384
Singh-2002,0.75,183
Su-2001,0.852941,813
Tomlins-2006-v1,0.85,1160
Tomlins-2006-v2,0.777778,647
West-2001,0.555556,641
Yeoh-2002-v1,1,1254
Yeoh-2002-v2,0.734694,1280
