Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1, 0.625000, 445.000000
Alizadeh-2000-v2, 1.000000, 1072.000000
Alizadeh-2000-v3, 0.833333, 500.000000
Armstrong-2002-v1, 0.857143, 271.000000
Armstrong-2002-v2, 0.785714, 1027.000000
Bhattacharjee-2001, 0.800000, 1451.000000
Bittner-2000, 1.000000, 161.000000
Bredel-2005, 0.900000, 458.000000
Chen-2002, 0.828571, 44.000000
Chowdary-2006, 0.950000, 128.000000
Dyrskjot-2003, 0.625000, 151.000000
Garber-2001, 0.692308, 726.000000
Golub-1999-v1, 1.000000, 1644.000000
Golub-1999-v2, 0.928571, 926.000000
Gordon-2002, 1.000000, 187.000000
Khan-2001_database, 1.000000, 314.000000
Laiho-2007_database, 0.714286, 289.000000
Lapointe-2004-v1, 0.846154, 345.000000
Lapointe-2004-v2, 0.636364, 574.000000
Liang-2005, 1.000000, 1019.000000
Nutt-2003-v1, 0.700000, 407.000000
Nutt-2003-v2, 0.400000, 69.000000
Nutt-2003-v3, 0.750000, 7.000000
Pomeroy-2002-v1, 0.500000, 738.000000
Pomeroy-2002-v2, 0.750000, 1156.000000
Ramaswamy-2001_database, 0.631579, 998.000000
Risinger-2003, 0.500000, 61.000000
Shipp-2002-v1, 0.600000, 55.000000
Singh-2002, 0.750000, 68.000000
Su-2001, 0.823529, 1311.000000
Tomlins-2006-v1, 0.900000, 839.000000
Tomlins-2006-v2, 0.666667, 261.000000
West-2001, 0.666667, 561.000000
Yeoh-2002-v1, 0.959184, 600.000000
Yeoh-2002-v2, 0.714286, 1536.000000
