Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1,0.75,532
Alizadeh-2000-v2,1,1084
Alizadeh-2000-v3,0.916667,1027
Armstrong-2002-v1,0.928571,543
Armstrong-2002-v2,0.785714,1067
Bhattacharjee-2001,0.825,797
Bittner-2000,0.714286,1110
Bredel-2005,0.8,882
Chen-2002,0.885714,44
Chowdary-2006,0.95,98
Dyrskjot-2003,0.625,631
Garber-2001,0.692308,2267
Golub-1999-v1,1,878
Golub-1999-v2,1,890
Gordon-2002,1,817
Khan-2001_database,1,533
Laiho-2007_database,0.714286,1101
Lapointe-2004-v1,0.846154,804
Lapointe-2004-v2,0.636364,1215
Liang-2005,0.857143,705
Nutt-2003-v1,0.6,666
Nutt-2003-v2,0.8,533
Nutt-2003-v3,0.75,586
Pomeroy-2002-v1,0.833333,434
Pomeroy-2002-v2,0.875,702
Ramaswamy-2001_database,0.710526,677
Risinger-2003,0.625,894
Shipp-2002-v1,0.933333,411
Singh-2002,0.75,178
Su-2001,0.823529,782
Tomlins-2006-v1,0.8,1133
Tomlins-2006-v2,0.777778,652
West-2001,0.555556,590
Yeoh-2002-v1,1,1222
Yeoh-2002-v2,0.816327,1216
