Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1,0.375,700
Alizadeh-2000-v2,1,1011
Alizadeh-2000-v3,0.75,1408
Armstrong-2002-v1,0.928571,750
Armstrong-2002-v2,0.785714,1448
Bhattacharjee-2001,0.825,1161
Bittner-2000,0.714286,1603
Bredel-2005,0.9,1264
Chen-2002,0.828571,63
Chowdary-2006,0.95,88
Dyrskjot-2003,0.625,862
Garber-2001,0.615385,2509
Golub-1999-v1,1,899
Golub-1999-v2,0.928571,1316
Gordon-2002,1,921
Khan-2001_database,1,612
Laiho-2007_database,0.857143,1566
Lapointe-2004-v1,0.846154,1111
Lapointe-2004-v2,0.681818,1752
Liang-2005,1,689
Nutt-2003-v1,0.6,884
Nutt-2003-v2,0.8,733
Nutt-2003-v3,0.75,786
Pomeroy-2002-v1,0.5,643
Pomeroy-2002-v2,0.75,954
Ramaswamy-2001_database,0.684211,963
Risinger-2003,0.5,1319
Shipp-2002-v1,0.933333,603
Singh-2002,0.65,225
Su-2001,0.852941,1119
Tomlins-2006-v1,0.8,1373
Tomlins-2006-v2,0.777778,884
West-2001,0.555556,860
Yeoh-2002-v1,0.979592,1453
Yeoh-2002-v2,0.77551,1842
