Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1,0.625,555
Alizadeh-2000-v2,1,1039
Alizadeh-2000-v3,0.75,1056
Armstrong-2002-v1,1,522
Armstrong-2002-v2,0.785714,1043
Bhattacharjee-2001,0.825,804
Bittner-2000,0.714286,1097
Bredel-2005,0.9,850
Chen-2002,0.857143,37
Chowdary-2006,0.95,99
Dyrskjot-2003,0.625,604
Garber-2001,0.692308,2298
Golub-1999-v1,1,935
Golub-1999-v2,1,937
Gordon-2002,1,834
Khan-2001_database,1,549
Laiho-2007_database,0.714286,1102
Lapointe-2004-v1,0.846154,789
Lapointe-2004-v2,0.727273,1208
Liang-2005,1,715
Nutt-2003-v1,0.6,641
Nutt-2003-v2,0.6,515
Nutt-2003-v3,0.75,543
Pomeroy-2002-v1,0.833333,422
Pomeroy-2002-v2,0.875,692
Ramaswamy-2001_database,0.657895,718
Risinger-2003,0.625,873
Shipp-2002-v1,0.933333,402
Singh-2002,0.75,160
Su-2001,0.882353,791
Tomlins-2006-v1,0.75,1154
Tomlins-2006-v2,0.833333,635
West-2001,0.555556,612
Yeoh-2002-v1,0.979592,1260
Yeoh-2002-v2,0.816327,1242
