Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1,0.625,477
Alizadeh-2000-v2,1,1019
Alizadeh-2000-v3,0.833333,854
Armstrong-2002-v1,0.928571,530
Armstrong-2002-v2,0.785714,1041
Bhattacharjee-2001,0.825,615
Bittner-2000,0.714286,968
Bredel-2005,0.9,830
Chen-2002,0.857143,36
Chowdary-2006,0.95,105
Dyrskjot-2003,0.625,512
Garber-2001,0.615385,2100
Golub-1999-v1,1,926
Golub-1999-v2,0.857143,845
Gordon-2002,1,776
Khan-2001_database,1,561
Laiho-2007_database,0.857143,1040
Lapointe-2004-v1,0.846154,660
Lapointe-2004-v2,0.681818,833
Liang-2005,1,688
Nutt-2003-v1,0.7,592
Nutt-2003-v2,0.6,468
Nutt-2003-v3,0.75,535
Pomeroy-2002-v1,0.833333,309
Pomeroy-2002-v2,0.5,530
Ramaswamy-2001_database,0.657895,397
Risinger-2003,0.75,633
Shipp-2002-v1,0.866667,316
Singh-2002,0.7,126
Su-2001,0.882353,532
Tomlins-2006-v1,0.8,850
Tomlins-2006-v2,0.833333,532
West-2001,0.444444,589
Yeoh-2002-v1,0.979592,1156
Yeoh-2002-v2,0.714286,861
