Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1, 0.500000, 549.000000
Armstrong-2002-v1, 0.785714, 515.000000
Bittner-2000, 0.714286, 1059.000000
Bredel-2005, 0.900000, 837.000000
Alizadeh-2000-v3, 0.833333, 1025.000000
Alizadeh-2000-v2, 1.000000, 1036.000000
Armstrong-2002-v2, 0.785714, 1086.000000
Bhattacharjee-2001, 0.850000, 769.000000
Chowdary-2006, 0.950000, 94.000000
Nutt-2003-v2, 0.600000, 542.000000
Pomeroy-2002-v1, 0.666667, 440.000000
Khan-2001_database, 1.000000, 553.000000
Golub-1999-v2, 0.857143, 894.000000
Lapointe-2004-v1, 0.769231, 792.000000
Garber-2001, 0.769231, 2252.000000
Liang-2005, 1.000000, 709.000000
Chen-2002, 0.885714, 47.000000
Nutt-2003-v3, 0.750000, 553.000000
Nutt-2003-v1, 0.600000, 696.000000
Laiho-2007_database, 0.857143, 1095.000000
Golub-1999-v1, 1.000000, 951.000000
Dyrskjot-2003, 0.500000, 606.000000
Gordon-2002, 1.000000, 800.000000
Pomeroy-2002-v2, 0.750000, 696.000000
Shipp-2002-v1, 1.000000, 394.000000
Lapointe-2004-v2, 0.636364, 1236.000000
Risinger-2003, 0.500000, 905.000000
Singh-2002, 0.800000, 154.000000
West-2001, 0.777778, 589.000000
Tomlins-2006-v1, 0.900000, 1151.000000
Ramaswamy-2001_database, 0.605263, 665.000000
Tomlins-2006-v2, 0.777778, 642.000000
Su-2001, 0.794118, 771.000000
Yeoh-2002-v2, 0.755102, 1239.000000
Yeoh-2002-v1, 0.979592, 1271.000000
