Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.971429
Alizadeh-2000-v2, 1.000000
Bittner-2000, 0.909524
Bredel-2005, 0.900000
Armstrong-2002-v1, 1.000000
Alizadeh-2000-v3, 0.940000
Armstrong-2002-v2, 1.000000
Bhattacharjee-2001, 0.969508
Chowdary-2006, 0.988235
Nutt-2003-v2, 0.880000
Pomeroy-2002-v1, 0.900000
Khan-2001_database, 1.000000
Golub-1999-v2, 0.983333
Lapointe-2004-v1, 0.736364
Garber-2001, 0.834545
Liang-2005, 0.933333
Chen-2002, 0.979310
Nutt-2003-v3, 0.900000
Nutt-2003-v1, 0.775000
Laiho-2007_database, 0.966667
Golub-1999-v1, 1.000000
Dyrskjot-2003, 0.971429
Gordon-2002, 1.000000
Pomeroy-2002-v2, 0.857143
Shipp-2002-v1, 0.952564
Lapointe-2004-v2, 0.762745
Risinger-2003, 0.823810
West-2001, 1.000000
Tomlins-2006-v1, 0.856618
Singh-2002, 0.878676
Ramaswamy-2001_database, 0.684301
Tomlins-2006-v2, 0.744762
Su-2001, 0.885714
Yeoh-2002-v2, 0.803205
Yeoh-2002-v1, 0.995000
