Data Set, Avg Accuracy
Alizadeh-2000-v1, 1.000000
Alizadeh-2000-v2, 1.000000
Alizadeh-2000-v3, 0.940000
Armstrong-2002-v1, 1.000000
Armstrong-2002-v2, 1.000000
Bhattacharjee-2001, 0.957197
Bittner-2000, 0.938095
Bredel-2005, 0.900000
Chen-2002, 0.965517
Chowdary-2006, 0.988235
Dyrskjot-2003, 0.971429
Garber-2001, 0.850909
Golub-1999-v1, 1.000000
Golub-1999-v2, 0.983333
Gordon-2002, 1.000000
Khan-2001_database, 1.000000
Laiho-2007_database, 0.966667
Lapointe-2004-v1, 0.768182
Lapointe-2004-v2, 0.762092
Liang-2005, 0.933333
Nutt-2003-v1, 0.800000
Nutt-2003-v2, 0.950000
Nutt-2003-v3, 0.950000
Pomeroy-2002-v1, 0.966667
Pomeroy-2002-v2, 0.823810
Ramaswamy-2001_database, 0.658280
Risinger-2003, 0.852381
Shipp-2002-v1, 0.953846
Singh-2002, 0.865441
Su-2001, 0.885714
Tomlins-2006-v1, 0.833088
Tomlins-2006-v2, 0.727619
West-2001, 1.000000
Yeoh-2002-v1, 0.995000
Yeoh-2002-v2, 0.778846
