Data Set, Avg Accuracy
Alizadeh-2000-v1, 1.000000
Bittner-2000, 0.900000
Armstrong-2002-v1, 1.000000
Bredel-2005, 0.900000
Alizadeh-2000-v3, 0.940000
Alizadeh-2000-v2, 1.000000
Armstrong-2002-v2, 1.000000
Bhattacharjee-2001, 0.975758
Chowdary-2006, 0.988235
Nutt-2003-v2, 0.880000
Pomeroy-2002-v1, 0.966667
Khan-2001_database, 1.000000
Golub-1999-v2, 0.983333
Lapointe-2004-v1, 0.751515
Garber-2001, 0.850909
Liang-2005, 0.933333
Chen-2002, 0.979310
Nutt-2003-v3, 0.900000
Nutt-2003-v1, 0.800000
Laiho-2007_database, 0.966667
Golub-1999-v1, 1.000000
Dyrskjot-2003, 0.971429
Gordon-2002, 1.000000
Pomeroy-2002-v2, 0.857143
Shipp-2002-v1, 0.952564
Lapointe-2004-v2, 0.750980
West-2001, 1.000000
Singh-2002, 0.877941
Ramaswamy-2001_database, 0.671613
Risinger-2003, 0.800000
Tomlins-2006-v1, 0.834559
Tomlins-2006-v2, 0.770476
Su-2001, 0.892857
Yeoh-2002-v2, 0.793846
Yeoh-2002-v1, 0.995000
