Data Set, Avg Accuracy
Alizadeh-2000-v1, 0.971429
Bittner-2000, 0.876190
Armstrong-2002-v1, 1.000000
Bredel-2005, 0.900000
Alizadeh-2000-v3, 0.960000
Alizadeh-2000-v2, 1.000000
Armstrong-2002-v2, 1.000000
Chowdary-2006, 0.988235
Nutt-2003-v2, 0.880000
Pomeroy-2002-v1, 0.933333
Khan-2001_database, 1.000000
Bhattacharjee-2001, 0.969318
Golub-1999-v2, 0.983333
Lapointe-2004-v1, 0.750000
Garber-2001, 0.834545
Chen-2002, 0.979310
Nutt-2003-v1, 0.775000
Nutt-2003-v3, 0.883333
Liang-2005, 0.933333
Laiho-2007_database, 0.966667
Golub-1999-v1, 1.000000
Dyrskjot-2003, 0.971429
Pomeroy-2002-v2, 0.852381
Shipp-2002-v1, 0.934615
Gordon-2002, 1.000000
West-2001, 1.000000
Singh-2002, 0.866176
Lapointe-2004-v2, 0.751634
Ramaswamy-2001_database, 0.671183
Risinger-2003, 0.800000
Tomlins-2006-v1, 0.822794
Tomlins-2006-v2, 0.771429
Su-2001, 0.892857
Yeoh-2002-v2, 0.789231
Yeoh-2002-v1, 0.995000
