Data Set, Avg Accuracy
Alizadeh-2000-v1, 1.000000
Bittner-2000, 0.904762
Armstrong-2002-v1, 1.000000
Bredel-2005, 0.900000
Alizadeh-2000-v2, 1.000000
Alizadeh-2000-v3, 0.980000
Armstrong-2002-v2, 1.000000
Bhattacharjee-2001, 0.987689
Chowdary-2006, 0.988235
Nutt-2003-v2, 0.920000
Pomeroy-2002-v1, 0.966667
Khan-2001_database, 1.000000
Golub-1999-v2, 0.983333
Lapointe-2004-v1, 0.789394
Garber-2001, 0.852727
Liang-2005, 0.933333
Chen-2002, 0.993103
Nutt-2003-v3, 0.950000
Nutt-2003-v1, 0.875000
Laiho-2007_database, 0.966667
Golub-1999-v1, 1.000000
Dyrskjot-2003, 0.971429
Gordon-2002, 1.000000
Pomeroy-2002-v2, 0.914286
Shipp-2002-v1, 0.969231
Lapointe-2004-v2, 0.817647
West-2001, 1.000000
Singh-2002, 0.927941
Ramaswamy-2001_database, 0.723871
Tomlins-2006-v1, 0.855882
Risinger-2003, 0.880952
Tomlins-2006-v2, 0.800000
Su-2001, 0.928571
Yeoh-2002-v2, 0.874615
Yeoh-2002-v1, 0.995000
