Data Set, Avg Accuracy
Alizadeh-2000-v1, 1.000000
Bittner-2000, 0.880952
Armstrong-2002-v1, 1.000000
Bredel-2005, 0.900000
Alizadeh-2000-v3, 0.960000
Alizadeh-2000-v2, 1.000000
Armstrong-2002-v2, 1.000000
Bhattacharjee-2001, 0.981818
Chowdary-2006, 0.988235
Nutt-2003-v2, 0.920000
Pomeroy-2002-v1, 0.966667
Khan-2001_database, 1.000000
Golub-1999-v2, 0.983333
Lapointe-2004-v1, 0.787879
Garber-2001, 0.834545
Liang-2005, 0.933333
Chen-2002, 0.993103
Nutt-2003-v1, 0.875000
Nutt-2003-v3, 0.900000
Laiho-2007_database, 0.966667
Golub-1999-v1, 1.000000
Dyrskjot-2003, 0.971429
Gordon-2002, 1.000000
Lapointe-2004-v2, 0.785621
Pomeroy-2002-v2, 0.885714
Shipp-2002-v1, 0.969231
Singh-2002, 0.927941
West-2001, 0.975000
Ramaswamy-2001_database, 0.749677
Tomlins-2006-v1, 0.857353
Risinger-2003, 0.857143
Tomlins-2006-v2, 0.810476
Su-2001, 0.928571
Yeoh-2002-v2, 0.859487
Yeoh-2002-v1, 0.995000
