Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1, 0.875000, 0.000000
Alizadeh-2000-v2, 1.000000, 0.000000
Alizadeh-2000-v3, 0.916667, 0.000000
Armstrong-2002-v1, 0.857143, 0.000000
Armstrong-2002-v2, 0.857143, 0.000000
Bhattacharjee-2001, 0.925000, 0.000000
Bittner-2000, 0.714286, 0.000000
Bredel-2005, 0.900000, 0.000000
Chen-2002, 0.828571, 0.000000
Chowdary-2006, 0.950000, 0.000000
Dyrskjot-2003, 0.250000, 0.000000
Garber-2001, 0.769231, 0.000000
Golub-1999-v1, 0.928571, 0.000000
Golub-1999-v2, 0.785714, 0.000000
Gordon-2002, 0.972222, 0.000000
Khan-2001_database, 1.000000, 0.000000
Laiho-2007_database, 0.571429, 0.000000
Lapointe-2004-v1, 0.923077, 0.000000
Lapointe-2004-v2, 0.863636, 0.000000
Liang-2005, 1.000000, 0.000000
Nutt-2003-v1, 0.400000, 0.000000
Nutt-2003-v2, 1.000000, 0.000000
Nutt-2003-v3, 1.000000, 0.000000
Pomeroy-2002-v1, 0.833333, 0.000000
Pomeroy-2002-v2, 1.000000, 0.000000
Ramaswamy-2001_database, 0.263158, 0.000000
Risinger-2003, 0.250000, 0.000000
Shipp-2002-v1, 0.933333, 0.000000
Singh-2002, 0.850000, 0.000000
Su-2001, 0.852941, 0.000000
Tomlins-2006-v1, 0.850000, 0.000000
Tomlins-2006-v2, 0.388889, 0.000000
West-2001, 0.777778, 0.000000
Yeoh-2002-v1, 0.836735, 0.000000
Yeoh-2002-v2, 0.265306, 0.000000
