Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1, 0.625000, 0.000000
Alizadeh-2000-v2, 0.916667, 0.000000
Alizadeh-2000-v3, 0.750000, 0.000000
Armstrong-2002-v1, 0.928571, 0.000000
Armstrong-2002-v2, 0.857143, 0.000000
Bhattacharjee-2001, 0.875000, 0.000000
Bittner-2000, 0.714286, 0.000000
Bredel-2005, 0.900000, 0.000000
Chen-2002, 0.800000, 0.000000
Chowdary-2006, 0.950000, 0.000000
Dyrskjot-2003, 0.625000, 0.000000
Garber-2001, 0.692308, 0.000000
Golub-1999-v1, 0.928571, 0.000000
Golub-1999-v2, 0.857143, 0.000000
Gordon-2002, 0.888889, 0.000000
Khan-2001_database, 0.750000, 0.000000
Laiho-2007_database, 0.857143, 0.000000
Lapointe-2004-v1, 0.615385, 0.000000
Lapointe-2004-v2, 0.772727, 0.000000
Liang-2005, 0.857143, 0.000000
Nutt-2003-v1, 0.700000, 0.000000
Nutt-2003-v2, 0.600000, 0.000000
Nutt-2003-v3, 1.000000, 0.000000
Pomeroy-2002-v1, 0.666667, 0.000000
Pomeroy-2002-v2, 0.625000, 0.000000
Ramaswamy-2001_database, 0.552632, 0.000000
Risinger-2003, 0.625000, 0.000000
Shipp-2002-v1, 0.666667, 0.000000
Singh-2002, 0.750000, 0.000000
Su-2001, 0.823529, 0.000000
Tomlins-2006-v1, 0.450000, 0.000000
Tomlins-2006-v2, 0.611111, 0.000000
West-2001, 0.777778, 0.000000
Yeoh-2002-v1, 0.959184, 0.000000
Yeoh-2002-v2, 0.551020, 0.000000
