Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1, 0.625000, 0.000000
Alizadeh-2000-v2, 0.916667, 0.000000
Alizadeh-2000-v3, 0.833333, 0.000000
Armstrong-2002-v1, 1.000000, 0.000000
Armstrong-2002-v2, 0.714286, 0.000000
Bhattacharjee-2001, 0.850000, 0.000000
Bittner-2000, 0.714286, 0.000000
Bredel-2005, 0.800000, 0.000000
Chen-2002, 0.857143, 0.000000
Chowdary-2006, 0.900000, 0.000000
Dyrskjot-2003, 0.750000, 0.000000
Garber-2001, 0.769231, 0.000000
Golub-1999-v1, 1.000000, 0.000000
Golub-1999-v2, 0.714286, 0.000000
Gordon-2002, 1.000000, 0.000000
Khan-2001_database, 0.875000, 0.000000
Laiho-2007_database, 0.714286, 0.000000
Lapointe-2004-v1, 0.692308, 0.000000
Lapointe-2004-v2, 0.909091, 0.000000
Liang-2005, 0.714286, 0.000000
Nutt-2003-v1, 0.700000, 0.000000
Nutt-2003-v2, 0.600000, 0.000000
Nutt-2003-v3, 1.000000, 0.000000
Pomeroy-2002-v1, 0.833333, 0.000000
Pomeroy-2002-v2, 0.750000, 0.000000
Ramaswamy-2001_database, 0.684211, 0.000000
Risinger-2003, 0.625000, 0.000000
Shipp-2002-v1, 0.800000, 0.000000
Singh-2002, 0.900000, 0.000000
Su-2001, 0.852941, 0.000000
Tomlins-2006-v1, 0.700000, 0.000000
Tomlins-2006-v2, 0.666667, 0.000000
West-2001, 0.666667, 0.000000
Yeoh-2002-v1, 0.897959, 0.000000
Yeoh-2002-v2, 0.489796, 0.000000
