Data Set, Avg Accuracy, Selected Features
Alizadeh-2000-v1, 0.500000, 0.000000
Alizadeh-2000-v2, 0.666667, 0.000000
Alizadeh-2000-v3, 0.333333, 0.000000
Armstrong-2002-v1, 0.642857, 0.000000
Armstrong-2002-v2, 0.428571, 0.000000
Bhattacharjee-2001, 0.675000, 0.000000
Bittner-2000, 0.428571, 0.000000
Bredel-2005, 0.700000, 0.000000
Chen-2002, 0.571429, 0.000000
Chowdary-2006, 0.600000, 0.000000
Dyrskjot-2003, 0.625000, 0.000000
Garber-2001, 0.615385, 0.000000
Golub-1999-v1, 0.642857, 0.000000
Golub-1999-v2, 0.571429, 0.000000
Gordon-2002, 0.833333, 0.000000
Khan-2001_database, 0.312500, 0.000000
Laiho-2007_database, 0.714286, 0.000000
Lapointe-2004-v1, 0.538462, 0.000000
Lapointe-2004-v2, 0.363636, 0.000000
Liang-2005, 0.714286, 0.000000
Nutt-2003-v1, 0.200000, 0.000000
Nutt-2003-v2, 0.400000, 0.000000
Nutt-2003-v3, 0.750000, 0.000000
Pomeroy-2002-v1, 0.833333, 0.000000
Pomeroy-2002-v2, 0.250000, 0.000000
Ramaswamy-2001_database, 0.631579, 0.000000
Risinger-2003, 0.375000, 0.000000
Shipp-2002-v1, 0.733333, 0.000000
Singh-2002, 0.500000, 0.000000
Su-2001, 0.882353, 0.000000
Tomlins-2006-v1, 0.650000, 0.000000
Tomlins-2006-v2, 0.388889, 0.000000
West-2001, 0.555556, 0.000000
Yeoh-2002-v1, 0.836735, 0.000000
Yeoh-2002-v2, 0.755102, 0.000000
