Data Set, Avg Accuracy, Std. Dev, Optimized Acc, Std. Dev, test Accuracy
Alizadeh-2000-v1,0.85,0.165738,0.783333,0.158114,0.6875
Alizadeh-2000-v2,0.93,0.094868,0.94,0.069921,0.983333
Alizadeh-2000-v3,0.85,0.143372,0.85,0.117851,0.9
Armstrong-2002-v1,0.863636,0.088348,0.863636,0.098193,0.9
Armstrong-2002-v2,0.781818,0.257843,0.845455,0.205748,0.8
Bhattacharjee-2001,0.803125,0.048969,0.86875,0.060381,0.83
Bittner-2000,0.716667,0.137212,0.633333,0.233069,0.571429
Bredel-2005,0.7,0.120761,0.7125,0.144938,0.83
Chen-2002,0.939286,0.024105,0.914286,0.041921,0.842857
Chowdary-2006,0.9125,0.125693,0.9,0.189113,0.885
Dyrskjot-2003,0.8,0.204879,0.733333,0.140546,0.5625
Garber-2001,0.66,0.164655,0.64,0.107497,0.730769
Golub-1999-v1,0.827273,0.124575,0.845455,0.113788,0.85
Golub-1999-v2,0.754545,0.148763,0.790909,0.128921,0.821429
Gordon-2002,0.92069,0.081358,0.937931,0.060386,0.944444
Khan-2001_database,0.876923,0.131746,0.861538,0.101274,0.9
Laiho-2007_database,0.75,0.238953,0.783333,0.26117,0.685714
Lapointe-2004-v1,0.636364,0.113384,0.563636,0.140836,0.646154
Lapointe-2004-v2,0.7,0.08964,0.664706,0.10394,0.740909
Liang-2005,0.733333,0.086066,0.75,0.180021,0.771429
Nutt-2003-v1,0.475,0.184466,0.5,0.117851,0.55
Nutt-2003-v2,0.75,0.235702,0.65,0.210819,0.58
Nutt-2003-v3,0.7,0.105409,0.8,0.281091,0.85
Pomeroy-2002-v1,0.8,0.094281,0.7,0.169967,0.766667
Pomeroy-2002-v2,0.4,0.210819,0.283333,0.112491,0.525
Ramaswamy-2001_database,0.516667,0.142508,0.61,0.049814,0.65
Risinger-2003,0.583333,0.180021,0.616667,0.176558,0.45
Shipp-2002-v1,0.758333,0.026352,0.766667,0.129099,0.806667
Singh-2002,0.875,0.088388,0.84375,0.10312,0.825
Su-2001,0.771429,0.113189,0.785714,0.103783,0.8
Tomlins-2006-v1,0.7375,0.137563,0.71875,0.115056,0.775
Tomlins-2006-v2,0.685714,0.131277,0.657143,0.142061,0.711111
West-2001,0.8,0.17873,0.8125,0.147314,0.622222
Yeoh-2002-v1,0.825641,0.010811,0.794872,0.220903,0.806122
Yeoh-2002-v2,0.587179,0.090008,0.65641,0.083042,0.712245
