Data Set, Accuracy
Alizadeh-2000-v1,0.5
Alizadeh-2000-v2,0.666667
Alizadeh-2000-v3,0.333333
Armstrong-2002-v1,0.357143
Armstrong-2002-v2,0.285714
Bhattacharjee-2001,0.675
Bittner-2000,0.428571
Bredel-2005,0.2
Chen-2002,0.571429
Chowdary-2006,0.6
Dyrskjot-2003,0.125
Garber-2001,0.230769
Golub-1999-v1,0.642857
Golub-1999-v2,0.571429
Gordon-2002,0.138889
Khan-2001_database,0.3125
Laiho-2007_database,0.142857
Lapointe-2004-v1,0.153846
Lapointe-2004-v2,0.090909
Liang-2005,0.142857
Nutt-2003-v1,0.2
Nutt-2003-v2,0.4
Nutt-2003-v3,0.25
Pomeroy-2002-v1,0.833333
Pomeroy-2002-v2,0.25
Ramaswamy-2001_database,0.052632
Risinger-2003,0.125
Shipp-2002-v1,0.733333
Singh-2002,0.5
Su-2001,0.147059
Tomlins-2006-v1,0.25
Tomlins-2006-v2,0.277778
West-2001,0.555556
Yeoh-2002-v1,0.836735
Yeoh-2002-v2,0
