Data Set, Avg Accuracy, Std. Dev, Optimized Acc, Std. Dev, test Accuracy
Alizadeh-2000-v1,0.88,0.03123,0.876667,0.034872,0.7875
Alizadeh-2000-v2,0.93,0.055176,0.92,0.052493,0.908333
Alizadeh-2000-v3,0.844,0.042999,0.834,0.046236,0.808333
Armstrong-2002-v1,0.918,0.027226,0.906667,0.049341,0.95
Armstrong-2002-v2,0.937667,0.036853,0.947667,0.017642,0.821429
Bhattacharjee-2001,0.884522,0.018055,0.900404,0.019139,0.8825
Bittner-2000,0.733333,0.05122,0.736667,0.075482,0.714286
Bredel-2005,0.7925,0.028988,0.7825,0.033437,0.88
Chen-2002,0.899667,0.026101,0.909381,0.029034,0.84
Chowdary-2006,0.948194,0.026198,0.939167,0.029439,0.95
Dyrskjot-2003,0.6975,0.074437,0.700833,0.091071,0.6875
Garber-2001,0.770333,0.029667,0.772,0.026952,0.715385
Golub-1999-v1,0.910333,0.034764,0.924,0.028923,0.921429
Golub-1999-v2,0.868,0.049844,0.863,0.043332,0.814286
Gordon-2002,0.956286,0.036229,0.948286,0.045888,0.963889
Khan-2001_database,0.950714,0.023058,0.923095,0.020173,0.94375
Laiho-2007_database,0.82,0.044997,0.8,0.054433,0.728571
Lapointe-2004-v1,0.71,0.045325,0.675333,0.054301,0.7
Lapointe-2004-v2,0.745139,0.010357,0.722917,0.037286,0.795455
Liang-2005,0.786667,0.039126,0.803333,0.033148,0.757143
Nutt-2003-v1,0.64,0.052967,0.625,0.065617,0.64
Nutt-2003-v2,0.776667,0.058373,0.748333,0.057975,0.7
Nutt-2003-v3,0.735,0.074722,0.78,0.075277,0.9
Pomeroy-2002-v1,0.785,0.042637,0.763333,0.032203,0.816667
Pomeroy-2002-v2,0.571667,0.039126,0.5925,0.060534,0.75
Ramaswamy-2001_database,0.530208,0.047559,0.62675,0.036219,0.621053
Risinger-2003,0.659167,0.067979,0.624167,0.063762,0.4875
Shipp-2002-v1,0.821905,0.040372,0.834048,0.035565,0.84
Singh-2002,0.861944,0.024085,0.866806,0.027125,0.845
Su-2001,0.801429,0.039812,0.847857,0.019648,0.852941
Tomlins-2006-v1,0.772361,0.024702,0.77125,0.026369,0.815
Tomlins-2006-v2,0.730357,0.017837,0.728036,0.030282,0.811111
West-2001,0.85,0.040825,0.8325,0.048663,0.633333
Yeoh-2002-v1,0.933211,0.012818,0.964947,0.013146,0.961224
Yeoh-2002-v2,0.710816,0.021148,0.731605,0.027279,0.726531
