Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.500000, 0.000000
Alizadeh-2000-v2, 1.000000, 0.000000
Alizadeh-2000-v3, 0.333333, 0.000000
Armstrong-2002-v1, 1.000000, 0.000000
Armstrong-2002-v2, 0.857143, 0.000000
Bhattacharjee-2001, 0.750000, 0.000000
Bittner-2000, 1.000000, 0.000000
Bredel-2005, 0.800000, 0.000000
Chen-2002, 0.705882, 0.000000
Chowdary-2006, 0.600000, 0.000000
Dyrskjot-2003, 0.750000, 0.000000
Garber-2001, 0.833333, 0.000000
Golub-1999-v1, 0.857143, 0.000000
Golub-1999-v2, 0.571429, 0.000000
Gordon-2002, 0.944444, 0.000000
Khan-2001_database, 0.500000, 0.000000
Laiho-2007_database, 0.666667, 0.000000
Lapointe-2004-v1, 0.833333, 0.000000
Lapointe-2004-v2, 0.545455, 0.000000
Liang-2005, 1.000000, 0.000000
Nutt-2003-v1, 0.600000, 0.000000
Nutt-2003-v2, 0.000000, 0.000000
Nutt-2003-v3, 0.000000, 0.000000
Pomeroy-2002-v1, 1.000000, 0.000000
Pomeroy-2002-v2, 0.250000, 0.000000
Ramaswamy-2001_database, 0.210526, 0.000000
Risinger-2003, 0.500000, 0.000000
Shipp-2002-v1, 0.571429, 0.000000
Singh-2002, 0.700000, 0.000000
Su-2001, 0.117647, 0.000000
Tomlins-2006-v1, 0.400000, 0.000000
Tomlins-2006-v2, 0.555556, 0.000000
West-2001, 0.750000, 0.000000
Yeoh-2002-v1, 0.958333, 0.000000
Yeoh-2002-v2, 0.458333, 0.000000
