Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.750000, 540.000000
Alizadeh-2000-v2, 1.000000, 1056.000000
Alizadeh-2000-v3, 1.000000, 1047.000000
Armstrong-2002-v1, 1.000000, 534.000000
Armstrong-2002-v2, 1.000000, 1074.000000
Bhattacharjee-2001, 0.950000, 763.000000
Bittner-2000, 1.000000, 1067.000000
Bredel-2005, 0.800000, 889.000000
Chen-2002, 0.764706, 37.000000
Chowdary-2006, 1.000000, 88.000000
Dyrskjot-2003, 0.750000, 578.000000
Garber-2001, 0.833333, 2290.000000
Golub-1999-v1, 1.000000, 988.000000
Golub-1999-v2, 0.714286, 970.000000
Gordon-2002, 1.000000, 810.000000
Khan-2001_database, 1.000000, 573.000000
Laiho-2007_database, 0.333333, 1085.000000
Lapointe-2004-v1, 0.500000, 807.000000
Lapointe-2004-v2, 0.818182, 1253.000000
Liang-2005, 1.000000, 730.000000
Nutt-2003-v1, 0.600000, 686.000000
Nutt-2003-v2, 0.500000, 521.000000
Nutt-2003-v3, 0.500000, 578.000000
Pomeroy-2002-v1, 0.666667, 430.000000
Pomeroy-2002-v2, 0.750000, 695.000000
Ramaswamy-2001_database, 0.631579, 706.000000
Risinger-2003, 0.750000, 912.000000
Shipp-2002-v1, 0.857143, 384.000000
Singh-2002, 0.700000, 163.000000
Su-2001, 0.882353, 806.000000
Tomlins-2006-v1, 0.500000, 1179.000000
Tomlins-2006-v2, 0.444444, 620.000000
West-2001, 0.500000, 603.000000
Yeoh-2002-v1, 0.958333, 1267.000000
Yeoh-2002-v2, 0.500000, 1283.000000
