Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.500000, 543.000000
Alizadeh-2000-v2, 1.000000, 377.000000
Alizadeh-2000-v3, 1.000000, 1679.000000
Armstrong-2002-v1, 0.857143, 364.000000
Armstrong-2002-v2, 0.857143, 877.000000
Bhattacharjee-2001, 0.900000, 523.000000
Bittner-2000, 1.000000, 326.000000
Bredel-2005, 0.800000, 1086.000000
Chen-2002, 0.882353, 63.000000
Chowdary-2006, 1.000000, 53.000000
Dyrskjot-2003, 0.500000, 208.000000
Garber-2001, 1.000000, 106.000000
Golub-1999-v1, 1.000000, 1435.000000
Golub-1999-v2, 0.857143, 1611.000000
Gordon-2002, 1.000000, 326.000000
Khan-2001_database, 1.000000, 253.000000
Laiho-2007_database, 0.333333, 553.000000
Lapointe-2004-v1, 0.666667, 347.000000
Lapointe-2004-v2, 0.818182, 845.000000
Liang-2005, 1.000000, 184.000000
Nutt-2003-v1, 0.400000, 774.000000
Nutt-2003-v2, 1.000000, 106.000000
Nutt-2003-v3, 0.500000, 104.000000
Pomeroy-2002-v1, 0.666667, 693.000000
Pomeroy-2002-v2, 0.750000, 354.000000
Ramaswamy-2001_database, 0.526316, 979.000000
Risinger-2003, 0.750000, 27.000000
Shipp-2002-v1, 0.857143, 143.000000
Singh-2002, 0.900000, 8.000000
Su-2001, 0.882353, 884.000000
Tomlins-2006-v1, 0.700000, 344.000000
Tomlins-2006-v2, 0.777778, 278.000000
West-2001, 0.750000, 401.000000
Yeoh-2002-v1, 1.000000, 102.000000
Yeoh-2002-v2, 0.541667, 2191.000000
