Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.500000, 543.000000
Alizadeh-2000-v2, 1.000000, 1056.000000
Alizadeh-2000-v3, 1.000000, 1039.000000
Armstrong-2002-v1, 1.000000, 539.000000
Armstrong-2002-v2, 0.714286, 1128.000000
Bhattacharjee-2001, 0.900000, 781.000000
Bittner-2000, 1.000000, 1076.000000
Bredel-2005, 0.800000, 852.000000
Chen-2002, 0.941176, 37.000000
Chowdary-2006, 1.000000, 88.000000
Dyrskjot-2003, 0.500000, 584.000000
Garber-2001, 0.833333, 2314.000000
Golub-1999-v1, 0.857143, 941.000000
Golub-1999-v2, 0.714286, 948.000000
Gordon-2002, 1.000000, 846.000000
Khan-2001_database, 1.000000, 548.000000
Laiho-2007_database, 0.333333, 1127.000000
Lapointe-2004-v1, 0.666667, 842.000000
Lapointe-2004-v2, 0.818182, 1232.000000
Liang-2005, 1.000000, 718.000000
Nutt-2003-v1, 0.600000, 676.000000
Nutt-2003-v2, 1.000000, 532.000000
Nutt-2003-v3, 0.500000, 600.000000
Pomeroy-2002-v1, 0.666667, 438.000000
Pomeroy-2002-v2, 0.750000, 679.000000
Ramaswamy-2001_database, 0.578947, 674.000000
Risinger-2003, 0.750000, 847.000000
Shipp-2002-v1, 0.857143, 405.000000
Singh-2002, 0.800000, 165.000000
Su-2001, 0.823529, 793.000000
Tomlins-2006-v1, 0.400000, 1191.000000
Tomlins-2006-v2, 0.777778, 636.000000
West-2001, 0.500000, 602.000000
Yeoh-2002-v1, 1.000000, 1217.000000
Yeoh-2002-v2, 0.666667, 1298.000000
