Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.750000, 787.000000
Alizadeh-2000-v2, 1.000000, 1044.000000
Alizadeh-2000-v3, 0.833333, 1509.000000
Armstrong-2002-v1, 1.000000, 731.000000
Armstrong-2002-v2, 0.857143, 1577.000000
Bhattacharjee-2001, 0.950000, 1176.000000
Bittner-2000, 1.000000, 1515.000000
Bredel-2005, 0.800000, 881.000000
Chen-2002, 0.882353, 57.000000
Chowdary-2006, 1.000000, 86.000000
Dyrskjot-2003, 0.500000, 866.000000
Garber-2001, 1.000000, 2268.000000
Golub-1999-v1, 0.714286, 968.000000
Golub-1999-v2, 0.857143, 1226.000000
Gordon-2002, 0.944444, 795.000000
Khan-2001_database, 1.000000, 542.000000
Laiho-2007_database, 0.666667, 1614.000000
Lapointe-2004-v1, 0.666667, 1177.000000
Lapointe-2004-v2, 0.727273, 1866.000000
Liang-2005, 1.000000, 681.000000
Nutt-2003-v1, 0.600000, 1017.000000
Nutt-2003-v2, 0.500000, 736.000000
Nutt-2003-v3, 0.500000, 839.000000
Pomeroy-2002-v1, 0.666667, 660.000000
Pomeroy-2002-v2, 0.750000, 973.000000
Ramaswamy-2001_database, 0.526316, 1067.000000
Risinger-2003, 0.750000, 1256.000000
Shipp-2002-v1, 0.857143, 626.000000
Singh-2002, 0.700000, 235.000000
Su-2001, 0.882353, 1192.000000
Tomlins-2006-v1, 0.500000, 1397.000000
Tomlins-2006-v2, 0.777778, 819.000000
West-2001, 0.500000, 881.000000
Yeoh-2002-v1, 1.000000, 1836.000000
Yeoh-2002-v2, 0.625000, 1914.000000
