Data Set, Avg Accuracy, Std. Dev
Ramaswamy-2001_database, 0.578947, 654.000000
Risinger-2003, 0.750000, 921.000000
Shipp-2002-v1, 0.857143, 422.000000
Singh-2002, 0.800000, 164.000000
Su-2001, 0.941176, 750.000000
Tomlins-2006-v1, 0.500000, 1153.000000
Tomlins-2006-v2, 0.888889, 636.000000
West-2001, 0.500000, 620.000000
Yeoh-2002-v1, 1.000000, 1224.000000
Yeoh-2002-v2, 0.666667, 1281.000000
Alizadeh-2000-v1, 1.000000, 548.000000
Alizadeh-2000-v2, 1.000000, 1072.000000
Alizadeh-2000-v3, 1.000000, 1028.000000
Armstrong-2002-v1, 0.857143, 551.000000
Armstrong-2002-v2, 0.857143, 1099.000000
Bhattacharjee-2001, 0.950000, 742.000000
Bittner-2000, 1.000000, 1072.000000
Bredel-2005, 0.800000, 854.000000
Chen-2002, 0.823529, 36.000000
Chowdary-2006, 1.000000, 91.000000
Dyrskjot-2003, 0.500000, 582.000000
Garber-2001, 1.000000, 2273.000000
Golub-1999-v1, 0.857143, 930.000000
Golub-1999-v2, 0.714286, 989.000000
Gordon-2002, 1.000000, 834.000000
Khan-2001_database, 1.000000, 541.000000
Laiho-2007_database, 0.333333, 1109.000000
Lapointe-2004-v1, 0.666667, 820.000000
Lapointe-2004-v2, 0.909091, 1260.000000
Liang-2005, 1.000000, 719.000000
Nutt-2003-v1, 0.600000, 686.000000
Nutt-2003-v2, 1.000000, 508.000000
Nutt-2003-v3, 0.500000, 541.000000
Pomeroy-2002-v1, 0.666667, 417.000000
Pomeroy-2002-v2, 0.750000, 694.000000
