Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.750000, 398.000000
Alizadeh-2000-v2, 1.000000, 1054.000000
Alizadeh-2000-v3, 1.000000, 767.000000
Armstrong-2002-v1, 1.000000, 551.000000
Armstrong-2002-v2, 1.000000, 957.000000
Bhattacharjee-2001, 0.800000, 596.000000
Bittner-2000, 1.000000, 760.000000
Bredel-2005, 0.800000, 901.000000
Chen-2002, 0.941176, 29.000000
Chowdary-2006, 1.000000, 77.000000
Dyrskjot-2003, 0.500000, 554.000000
Garber-2001, 0.666667, 1658.000000
Golub-1999-v1, 0.714286, 946.000000
Golub-1999-v2, 0.714286, 868.000000
Gordon-2002, 1.000000, 810.000000
Khan-2001_database, 1.000000, 518.000000
Laiho-2007_database, 0.333333, 1036.000000
Lapointe-2004-v1, 0.500000, 683.000000
Lapointe-2004-v2, 0.727273, 949.000000
Liang-2005, 1.000000, 693.000000
Nutt-2003-v1, 0.600000, 517.000000
Nutt-2003-v2, 1.000000, 348.000000
Nutt-2003-v3, 0.500000, 580.000000
Pomeroy-2002-v1, 0.666667, 359.000000
Pomeroy-2002-v2, 0.750000, 468.000000
Ramaswamy-2001_database, 0.526316, 451.000000
Risinger-2003, 0.750000, 512.000000
Shipp-2002-v1, 0.857143, 295.000000
Singh-2002, 0.700000, 126.000000
Su-2001, 1.000000, 535.000000
Tomlins-2006-v1, 0.500000, 926.000000
Tomlins-2006-v2, 0.777778, 379.000000
West-2001, 0.500000, 565.000000
Yeoh-2002-v1, 0.958333, 1086.000000
Yeoh-2002-v2, 0.625000, 868.000000
