Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.750000, 515.000000
Alizadeh-2000-v2, 1.000000, 1028.000000
Alizadeh-2000-v3, 1.000000, 1032.000000
Armstrong-2002-v1, 1.000000, 542.000000
Armstrong-2002-v2, 0.857143, 1105.000000
Bhattacharjee-2001, 1.000000, 775.000000
Bittner-2000, 1.000000, 1079.000000
Bredel-2005, 0.800000, 890.000000
Chen-2002, 0.823529, 44.000000
Chowdary-2006, 1.000000, 92.000000
Dyrskjot-2003, 0.750000, 576.000000
Garber-2001, 1.000000, 2268.000000
Golub-1999-v1, 0.857143, 925.000000
Golub-1999-v2, 0.714286, 935.000000
Gordon-2002, 1.000000, 836.000000
Khan-2001_database, 1.000000, 575.000000
Laiho-2007_database, 0.666667, 1098.000000
Lapointe-2004-v1, 0.666667, 757.000000
Lapointe-2004-v2, 0.818182, 1235.000000
Liang-2005, 1.000000, 686.000000
Nutt-2003-v1, 0.600000, 677.000000
Nutt-2003-v2, 0.500000, 545.000000
Nutt-2003-v3, 0.500000, 541.000000
Pomeroy-2002-v1, 1.000000, 434.000000
Pomeroy-2002-v2, 0.750000, 655.000000
Ramaswamy-2001_database, 0.526316, 719.000000
Risinger-2003, 0.750000, 818.000000
Shipp-2002-v1, 0.857143, 389.000000
Singh-2002, 0.900000, 172.000000
Su-2001, 0.941176, 787.000000
Tomlins-2006-v1, 0.500000, 1143.000000
Tomlins-2006-v2, 0.666667, 641.000000
West-2001, 0.500000, 606.000000
Yeoh-2002-v1, 1.000000, 1280.000000
Yeoh-2002-v2, 0.625000, 1230.000000
