Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v2, 1.000000, 1061.000000
Armstrong-2002-v1, 1.000000, 516.000000
Bredel-2005, 0.800000, 833.000000
Bittner-2000, 1.000000, 1111.000000
Alizadeh-2000-v3, 1.000000, 918.000000
Armstrong-2002-v2, 0.857143, 1092.000000
Pomeroy-2002-v1, 1.000000, 423.000000
Bhattacharjee-2001, 0.950000, 640.000000
Nutt-2003-v2, 0.500000, 488.000000
Liang-2005, 1.000000, 717.000000
Nutt-2003-v3, 1.000000, 583.000000
Lapointe-2004-v1, 0.666667, 773.000000
Golub-1999-v2, 0.857143, 878.000000
Nutt-2003-v1, 0.800000, 609.000000
Garber-2001, 1.000000, 2251.000000
Risinger-2003, 0.750000, 753.000000
Dyrskjot-2003, 0.750000, 524.000000
Yeoh-2002-v2, 0.708333, 873.000000
Pomeroy-2002-v2, 0.750000, 531.000000
Yeoh-2002-v1, 0.958333, 1272.000000
Alizadeh-2000-v1, 1.000000, 502.000000
Khan-2001_database, 1.000000, 548.000000
Laiho-2007_database, 0.666667, 1033.000000
Shipp-2002-v1, 1.000000, 363.000000
Lapointe-2004-v2, 0.818182, 1032.000000
West-2001, 0.500000, 593.000000
Golub-1999-v1, 0.857143, 884.000000
Chowdary-2006, 1.000000, 92.000000
Tomlins-2006-v1, 0.700000, 921.000000
Singh-2002, 0.800000, 155.000000
Tomlins-2006-v2, 0.777778, 532.000000
Gordon-2002, 1.000000, 815.000000
Su-2001, 0.941176, 562.000000
Ramaswamy-2001_database, 0.578947, 612.000000
Chen-2002, 0.823529, 41.000000
