Data Set, Avg Accuracy, Unoptimized Accuracy, Selected Features
Alizadeh-2000-v2, 0.916667, 0.916667, 1021.000000
Bittner-2000, 0.714286, 0.857143, 894.000000
Alizadeh-2000-v1, 0.375000, 0.625000, 569.000000
Armstrong-2002-v1, 1.000000, 1.000000, 491.000000
Bredel-2005, 0.900000, 0.900000, 869.000000
Chowdary-2006, 0.950000, 0.950000, 96.000000
Khan-2001_database, 1.000000, 1.000000, 527.000000
Armstrong-2002-v2, 0.928571, 0.928571, 1010.000000
Nutt-2003-v2, 0.600000, 0.400000, 523.000000
Alizadeh-2000-v3, 0.750000, 0.833333, 1066.000000
Bhattacharjee-2001, 0.925000, 0.875000, 676.000000
Pomeroy-2002-v1, 0.833333, 0.833333, 395.000000
Liang-2005, 1.000000, 0.857143, 695.000000
Nutt-2003-v3, 1.000000, 1.000000, 578.000000
Nutt-2003-v1, 0.700000, 0.600000, 669.000000
Gordon-2002, 0.972222, 0.972222, 833.000000
Golub-1999-v2, 0.928571, 0.857143, 919.000000
Golub-1999-v1, 0.642857, 0.857143, 935.000000
West-2001, 0.777778, 0.777778, 617.000000
Tomlins-2006-v2, 0.888889, 0.833333, 430.000000
Ramaswamy-2001_database, 0.657895, 0.578947, 495.000000
Chen-2002, 0.857143, 0.828571, 36.000000
Risinger-2003, 0.375000, 0.625000, 767.000000
Garber-2001, 0.692308, 0.615385, 1891.000000
Dyrskjot-2003, 0.875000, 0.750000, 446.000000
Lapointe-2004-v2, 0.545455, 0.863636, 919.000000
Pomeroy-2002-v2, 0.750000, 0.500000, 620.000000
Yeoh-2002-v2, 0.693878, 0.795918, 795.000000
Yeoh-2002-v1, 0.979592, 0.938776, 1290.000000
Shipp-2002-v1, 0.733333, 0.733333, 340.000000
Singh-2002, 0.850000, 0.900000, 158.000000
Lapointe-2004-v1, 0.692308, 0.692308, 797.000000
Laiho-2007_database, 0.857143, 0.857143, 1109.000000
Tomlins-2006-v1, 0.800000, 0.700000, 874.000000
Su-2001, 0.882353, 0.911765, 762.000000
