Data Set, Training Accuracy, Avg Accuracy, Unoptimized Accuracy, Selected Features
Alizadeh-2000-v1, 0.990228, 0.875000, 0.750000, 107.000000
Alizadeh-2000-v2, 0.990301, 1.000000, 0.666667, 203.000000
Bredel-2005, 0.915536, 0.900000, 0.900000, 295.000000
Pomeroy-2002-v1, 0.969895, 0.833333, 0.833333, 258.000000
Bhattacharjee-2001, 0.982826, 0.900000, 0.900000, 265.000000
Liang-2005, 0.929794, 0.714286, 0.714286, 144.000000
Nutt-2003-v3, 0.992708, 1.000000, 1.000000, 84.000000
Garber-2001, 0.896746, 0.769231, 0.692308, 1721.000000
Chowdary-2006, 0.987763, 0.950000, 0.950000, 3.000000
Armstrong-2002-v1, 0.992507, 1.000000, 0.857143, 81.000000
Bittner-2000, 0.939620, 0.571429, 0.857143, 763.000000
Nutt-2003-v2, 0.987009, 0.600000, 1.000000, 139.000000
Armstrong-2002-v2, 0.989289, 0.857143, 0.928571, 235.000000
Alizadeh-2000-v3, 0.968275, 0.750000, 0.833333, 664.000000
Risinger-2003, 0.835008, 0.500000, 0.750000, 645.000000
Golub-1999-v2, 0.967602, 0.928571, 0.928571, 325.000000
Golub-1999-v1, 0.985439, 0.928571, 1.000000, 272.000000
Lapointe-2004-v2, 0.838585, 0.772727, 0.818182, 975.000000
Lapointe-2004-v1, 0.852007, 0.692308, 0.692308, 610.000000
Laiho-2007_database, 0.987239, 0.714286, 0.714286, 281.000000
Singh-2002, 0.950800, 0.650000, 0.850000, 95.000000
Dyrskjot-2003, 0.983042, 0.750000, 0.500000, 204.000000
Yeoh-2002-v1, 0.985603, 0.979592, 0.836735, 250.000000
Shipp-2002-v1, 0.938598, 0.933333, 0.866667, 269.000000
Tomlins-2006-v2, 0.876944, 0.666667, 0.666667, 492.000000
Chen-2002, 0.969939, 0.885714, 0.857143, 15.000000
Pomeroy-2002-v2, 0.953328, 1.000000, 0.875000, 289.000000
Khan-2001_database, 0.991300, 1.000000, 1.000000, 93.000000
Gordon-2002, 0.991328, 0.972222, 0.916667, 141.000000
Nutt-2003-v1, 0.856345, 0.600000, 0.700000, 429.000000
Su-2001, 0.940550, 0.882353, 0.941176, 429.000000
West-2001, 0.985643, 0.777778, 0.777778, 172.000000
Ramaswamy-2001_database, 0.809641, 0.631579, 0.657895, 405.000000
Tomlins-2006-v1, 0.845102, 0.900000, 0.950000, 813.000000
Yeoh-2002-v2, 0.822027, 0.693878, 0.836735, 829.000000
