Data Set, Avg Accuracy, Unoptimized Accuracy, Selected Features, Test Accuracy
Alizadeh-2000-v2, 0.820000, 0.780000, 205.000000, 0.833333
Alizadeh-2000-v1, 0.942857, 0.942857, 148.000000, 0.750000
Bredel-2005, 0.900000, 0.875000, 393.000000, 0.900000
Chowdary-2006, 0.976471, 0.952941, 4.000000, 0.950000
Alizadeh-2000-v3, 0.780000, 0.780000, 575.000000, 0.750000
Chen-2002, 0.972167, 0.986207, 19.000000, 0.885714
Pomeroy-2002-v1, 0.866667, 0.800000, 195.000000, 0.833333
Bhattacharjee-2001, 0.791667, 0.754924, 315.000000, 0.750000
Nutt-2003-v3, 0.883333, 0.800000, 71.000000, 1.000000
Liang-2005, 0.833333, 1.000000, 122.000000, 0.714286
Golub-1999-v2, 0.857576, 0.913636, 270.000000, 0.785714
Golub-1999-v1, 0.915152, 0.863636, 300.000000, 0.928571
Risinger-2003, 0.795238, 0.823810, 499.000000, 0.625000
Shipp-2002-v1, 0.789744, 0.791026, 287.000000, 0.733333
Tomlins-2006-v2, 0.783810, 0.797143, 552.000000, 0.833333
Yeoh-2002-v1, 0.995000, 0.859103, 267.000000, 1.000000
Armstrong-2002-v1, 1.000000, 1.000000, 99.000000, 1.000000
Laiho-2007_database, 1.000000, 1.000000, 251.000000, 0.714286
Gordon-2002, 0.986207, 1.000000, 140.000000, 1.000000
Garber-2001, 0.865455, 0.940000, 1210.000000, 0.692308
Pomeroy-2002-v2, 0.795238, 0.647619, 513.000000, 0.875000
Su-2001, 0.950000, 0.978571, 356.000000, 0.970588
Dyrskjot-2003, 0.652381, 0.776190, 165.000000, 0.375000
Nutt-2003-v2, 0.900000, 1.000000, 102.000000, 1.000000
Bittner-2000, 0.838095, 0.866667, 752.000000, 0.714286
Khan-2001_database, 0.926374, 0.954945, 87.000000, 0.937500
Armstrong-2002-v2, 0.983333, 0.950000, 241.000000, 0.785714
Lapointe-2004-v1, 0.819697, 0.892424, 574.000000, 0.846154
West-2001, 0.750000, 0.775000, 142.000000, 0.666667
Lapointe-2004-v2, 0.898693, 0.898693, 912.000000, 0.818182
Tomlins-2006-v1, 0.749265, 0.761765, 801.000000, 0.650000
Ramaswamy-2001_database, 0.723871, 0.691613, 584.000000, 0.500000
Singh-2002, 0.813971, 0.914706, 81.000000, 0.750000
Nutt-2003-v1, 0.775000, 0.700000, 469.000000, 0.500000
