Data Set, Avg Accuracy, Std. Dev
 Alizadeh-2000-v1,0.75,0
Alizadeh-2000-v2,1,0
Alizadeh-2000-v3,1,0
Armstrong-2002-v1,1,0
Armstrong-2002-v2,0.857143,0
Bhattacharjee-2001,0.8,0
Bittner-2000,1,0
Bredel-2005,0.8,0
Chen-2002,0.941176,0
Chowdary-2006,1,0
Dyrskjot-2003,0.75,0
Garber-2001,0.666667,0
Golub-1999-v1,0.857143,0
Golub-1999-v2,0.714286,0
Gordon-2002,0.833333,0
Khan-2001_database,1,0
Laiho-2007_database,0.666667,0
Lapointe-2004-v1,0.5,0
Lapointe-2004-v2,0.909091,0
Liang-2005,1,0
Nutt-2003-v1,0.4,0
Nutt-2003-v2,1,0
Nutt-2003-v3,1,0
Pomeroy-2002-v1,0.333333,0
Pomeroy-2002-v2,1,0
Ramaswamy-2001_database,0.631579,0
Risinger-2003,0.5,0
Shipp-2002-v1,0.571429,0
Singh-2002,0.9,0
Su-2001,0.352941,0
Tomlins-2006-v1,0.8,0
Tomlins-2006-v2,0.777778,0
West-2001,0.5,0
Yeoh-2002-v1,0.916667,0
Yeoh-2002-v2,0.25,0
