Data Set, Avg Accuracy, Std. Dev,,,"'KNN','DT','DISCR','SVM'"
Alizadeh-2000-v1,0.88,0.127366,,,
Alizadeh-2000-v3,0.792857,0.129465,,,
Alizadeh-2000-v2,0.985714,0.045175,,,
Armstrong-2002-v2,0.8625,0.122581,,,
Bittner-2000,0.666667,0.235702,,,
Bredel-2005,0.9,0.105409,,,
Armstrong-2002-v1,0.891071,0.106629,,,
Bhattacharjee-2001,0.915714,0.070944,,,
Chowdary-2006,0.980909,0.040304,,,
Lapointe-2004-v1,0.647619,0.195953,,,
Garber-2001,0.77619,0.155199,,,
Golub-1999-v2,0.916071,0.098906,,,
Nutt-2003-v2,0.75,0.238953,,,
Pomeroy-2002-v1,0.816667,0.161015,,,
Liang-2005,0.95,0.105409,,,
Khan-2001_database,0.815278,0.136562,,,
Chen-2002,0.983333,0.037497,,,
Laiho-2007_database,0.966667,0.105409,,,
Dyrskjot-2003,0.825,0.205818,,,
Nutt-2003-v3,0.766667,0.344265,,,
Nutt-2003-v1,0.56,0.263312,,,
Golub-1999-v1,0.846429,0.138883,,,
Lapointe-2004-v2,0.681818,0.130338,,,
Pomeroy-2002-v2,0.71,0.162959,,,
Gordon-2002,0.988889,0.023424,,,
Shipp-2002-v1,0.780357,0.082928,,,
Risinger-2003,0.73,0.185891,,,
Tomlins-2006-v1,0.71,0.15323,,,
Singh-2002,0.796364,0.121076,,,
Ramaswamy-2001_database,0.626316,0.090992,,,
West-2001,0.82,0.198886,,,
Su-2001,0.879739,0.101252,,,
Yeoh-2002-v2,0.672667,0.073653,,,
Tomlins-2006-v2,0.741111,0.143257,,,
Yeoh-2002-v1,0.943333,0.051262,,,
