Data Set, Avg Accuracy, Std. Dev,,,"KNN','DT','DISCR','NB','SVM'"
Alizadeh-2000-v1,0.86,0.16964,,,
Alizadeh-2000-v2,1,0,,,
Alizadeh-2000-v3,0.77381,0.194485,,,
Armstrong-2002-v1,0.916071,0.098906,,,
Armstrong-2002-v2,0.8625,0.147266,,,
Bhattacharjee-2001,0.926429,0.06858,,,
Bittner-2000,0.666667,0.166667,,,
Bredel-2005,0.82,0.147573,,,
Chen-2002,0.916013,0.047683,,,
Chowdary-2006,0.980909,0.040304,,,
Dyrskjot-2003,0.85,0.174801,,,
Garber-2001,0.733333,0.19819,,,
Golub-1999-v1,0.85,0.147782,,,
Golub-1999-v2,0.944643,0.071651,,,
Gordon-2002,0.977778,0.028689,,,
Khan-2001_database,0.844444,0.115054,,,
Laiho-2007_database,0.966667,0.105409,,,
Lapointe-2004-v1,0.754762,0.177483,,,
Lapointe-2004-v2,0.709091,0.164866,,,
Liang-2005,0.925,0.120761,,,
Nutt-2003-v1,0.7,0.216025,,,
Nutt-2003-v2,0.783333,0.294497,,,
Nutt-2003-v3,0.85,0.241523,,,
Pomeroy-2002-v1,0.766667,0.235047,,,
Pomeroy-2002-v2,0.81,0.155991,,,
Ramaswamy-2001_database,0.652632,0.111511,,,
Risinger-2003,0.675,0.175198,,,
Shipp-2002-v1,0.832143,0.121464,,,
Singh-2002,0.793636,0.136131,,,
Su-2001,0.89085,0.057584,,,
Tomlins-2006-v1,0.791818,0.099165,,,
Tomlins-2006-v2,0.77,0.099388,,,
West-2001,0.82,0.175119,,,
Yeoh-2002-v1,0.987833,0.019595,,,
Yeoh-2002-v2,0.6855,0.072742,,,
