Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.810000, 0.246982
Armstrong-2002-v1, 0.885714, 0.131277
Alizadeh-2000-v2, 0.985714, 0.045175
Bittner-2000, 0.641667, 0.215345
Bredel-2005, 0.800000, 0.133333
Armstrong-2002-v2, 0.903571, 0.111740
Alizadeh-2000-v3, 0.788095, 0.154894
Chowdary-2006, 0.980909, 0.040304
Bhattacharjee-2001, 0.950238, 0.066671
Nutt-2003-v2, 0.733333, 0.250924
Pomeroy-2002-v1, 0.791667, 0.148293
Lapointe-2004-v1, 0.754762, 0.133772
Khan-2001_database, 0.827778, 0.177648
Chen-2002, 0.910784, 0.083503
Golub-1999-v2, 0.942857, 0.073771
Liang-2005, 0.950000, 0.105409
Nutt-2003-v3, 0.766667, 0.344265
Nutt-2003-v1, 0.800000, 0.163299
Garber-2001, 0.685714, 0.166402
Laiho-2007_database, 0.883333, 0.219427
Golub-1999-v1, 0.903571, 0.089167
Pomeroy-2002-v2, 0.760000, 0.236643
Singh-2002, 0.863636, 0.094378
Gordon-2002, 0.961111, 0.045737
Shipp-2002-v1, 0.742857, 0.153197
Dyrskjot-2003, 0.750000, 0.204124
Lapointe-2004-v2, 0.727273, 0.074227
West-2001, 0.740000, 0.231900
Tomlins-2006-v1, 0.799091, 0.102355
Risinger-2003, 0.690000, 0.162959
Tomlins-2006-v2, 0.668889, 0.256963
Ramaswamy-2001_database, 0.652632, 0.096730
Su-2001, 0.851307, 0.117559
Yeoh-2002-v2, 0.673000, 0.087591
Yeoh-2002-v1, 0.980000, 0.038873
