Data Set, Avg Accuracy, Std. Dev,,,,"'KNN','DT','SVM','ADABOOST','RF','RUSBOOST'"
Alizadeh-2000-v2,1,0,,,,
Alizadeh-2000-v3,0.904762,0.106479,,,,
Alizadeh-2000-v1,0.765,0.226139,,,,
Armstrong-2002-v2,0.930357,0.073603,,,,
Bittner-2000,0.683333,0.228387,,,,
Armstrong-2002-v1,0.971429,0.060234,,,,
Bredel-2005,0.84,0.157762,,,,
Bhattacharjee-2001,0.930714,0.048646,,,,
Chowdary-2006,0.961818,0.068273,,,,
Nutt-2003-v2,0.716667,0.222916,,,,
Lapointe-2004-v1,0.838095,0.112687,,,,
Pomeroy-2002-v1,0.616667,0.283823,,,,
Golub-1999-v2,0.957143,0.096421,,,,
Khan-2001_database,0.879167,0.136719,,,,
Garber-2001,0.754762,0.202669,,,,
Liang-2005,0.791667,0.233234,,,,
Chen-2002,0.9,0.086066,,,,
Nutt-2003-v3,0.733333,0.238307,,,,
Nutt-2003-v1,0.64,0.183787,,,,
Laiho-2007_database,0.8,0.242797,,,,
Golub-1999-v1,0.958929,0.06631,,,,
Dyrskjot-2003,0.675,0.264837,,,,
Gordon-2002,0.988889,0.023424,,,,
Risinger-2003,0.635,0.23927,,,,
Singh-2002,0.857273,0.137741,,,,
Lapointe-2004-v2,0.863636,0.077258,,,,
Shipp-2002-v1,0.819643,0.136373,,,,
West-2001,0.875,0.108653,,,,
Pomeroy-2002-v2,0.69,0.112546,,,,
Ramaswamy-2001_database,0.647368,0.096252,,,,
Tomlins-2006-v2,0.803333,0.164475,,,,
Tomlins-2006-v1,0.83,0.10205,,,,
Su-2001,0.919608,0.048988,,,,
Yeoh-2002-v2,0.835167,0.090719,,,,
Yeoh-2002-v1,0.971833,0.062719,,,,
