Data Set, Avg Accuracy, Std. Dev,,,"'KNN','DT','DISCR','NB','SVM','ADABOOST','RF','RUSBOOST'"
Alizadeh-2000-v2,0.966667,0.070273,,,
Alizadeh-2000-v1,0.82,0.223855,,,
Armstrong-2002-v1,0.901786,0.135015,,,
Bittner-2000,0.683333,0.195631,,,
Armstrong-2002-v2,0.942857,0.099887,,,
Bredel-2005,0.72,0.214994,,,
Alizadeh-2000-v3,0.869048,0.131012,,,
Chowdary-2006,0.950909,0.070052,,,
Nutt-2003-v2,0.8,0.281091,,,
Pomeroy-2002-v1,0.7,0.294497,,,
Bhattacharjee-2001,0.945714,0.043885,,,
Lapointe-2004-v1,0.814286,0.135526,,,
Khan-2001_database,0.941667,0.080932,,,
Chen-2002,0.899346,0.107439,,,
Golub-1999-v2,0.928571,0.101015,,,
Nutt-2003-v3,0.75,0.274986,,,
Garber-2001,0.85,0.170238,,,
Liang-2005,0.733333,0.231741,,,
Nutt-2003-v1,0.62,0.175119,,,
Laiho-2007_database,0.85,0.174801,,,
Golub-1999-v1,0.892857,0.13495,,,
Dyrskjot-2003,0.725,0.218899,,,
Gordon-2002,0.988889,0.023424,,,
Shipp-2002-v1,0.855357,0.159597,,,
Singh-2002,0.894545,0.113642,,,
West-2001,0.77,0.231181,,,
Lapointe-2004-v2,0.863636,0.088348,,,
Tomlins-2006-v1,0.817273,0.073287,,,
Ramaswamy-2001_database,0.663158,0.093494,,,
Pomeroy-2002-v2,0.675,0.211148,,,
Risinger-2003,0.75,0.248328,,,
Tomlins-2006-v2,0.741111,0.097717,,,
Su-2001,0.901961,0.067097,,,
Yeoh-2002-v2,0.875167,0.066279,,,
Yeoh-2002-v1,0.972,0.050067,,,
