Data Set, Avg Accuracy, Std. Dev,,,"'KNN','DT','DISCR','NB','SVM','ADABOOST','RF','RUSBOOST'"
Alizadeh-2000-v1,0.77,0.203033,,,
Armstrong-2002-v1,0.932143,0.071824,,,
Alizadeh-2000-v2,0.952381,0.076947,,,
Bittner-2000,0.766667,0.187577,,,
Bredel-2005,0.76,0.183787,,,
Armstrong-2002-v2,0.885714,0.112687,,,
Alizadeh-2000-v3,0.904762,0.132328,,,
Chowdary-2006,0.971818,0.045444,,,
Nutt-2003-v2,0.683333,0.253981,,,
Pomeroy-2002-v1,0.783333,0.219427,,,
Bhattacharjee-2001,0.955714,0.053537,,,
Lapointe-2004-v1,0.840476,0.10532,,,
Khan-2001_database,0.927778,0.062388,,,
Golub-1999-v2,0.907143,0.120761,,,
Chen-2002,0.893791,0.092474,,,
Nutt-2003-v3,0.866667,0.219427,,,
Liang-2005,0.791667,0.201269,,,
Nutt-2003-v1,0.6,0.133333,,,
Garber-2001,0.847619,0.124074,,,
Laiho-2007_database,0.866667,0.142725,,,
Golub-1999-v1,0.889286,0.107077,,,
Pomeroy-2002-v2,0.64,0.130809,,,
Singh-2002,0.903636,0.074375,,,
Gordon-2002,0.988889,0.023424,,,
Shipp-2002-v1,0.846429,0.141411,,,
Dyrskjot-2003,0.725,0.184466,,,
West-2001,0.75,0.143372,,,
Lapointe-2004-v2,0.881818,0.074843,,,
Tomlins-2006-v1,0.818182,0.050525,,,
Risinger-2003,0.655,0.256526,,,
Tomlins-2006-v2,0.816667,0.144895,,,
Ramaswamy-2001_database,0.694737,0.088766,,,
Su-2001,0.913725,0.094705,,,
Yeoh-2002-v2,0.847167,0.082342,,,
Yeoh-2002-v1,0.964,0.057966,,,
