Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.805000, 0.103950
Bredel-2005, 0.880000, 0.103280
Armstrong-2002-v1, 0.987500, 0.039528
Alizadeh-2000-v2, 1.000000, 0.000000
Bittner-2000, 0.791667, 0.261318
Golub-1999-v1, 0.973214, 0.056626
Lapointe-2004-v1, 0.740476, 0.145673
Alizadeh-2000-v3, 0.852381, 0.122849
Nutt-2003-v3, 0.783333, 0.236356
Laiho-2007_database, 0.916667, 0.136083
Garber-2001, 0.761905, 0.172425
Nutt-2003-v2, 0.816667, 0.253981
Khan-2001_database, 0.976389, 0.049884
Bhattacharjee-2001, 0.921667, 0.046771
Dyrskjot-2003, 0.850000, 0.129099
Nutt-2003-v1, 0.680000, 0.193218
Chowdary-2006, 0.970000, 0.048305
Armstrong-2002-v2, 0.944643, 0.098331
Liang-2005, 0.950000, 0.158114
Chen-2002, 0.966667, 0.038845
Gordon-2002, 0.983626, 0.026377
Singh-2002, 0.801818, 0.124854
Lapointe-2004-v2, 0.745455, 0.127128
Golub-1999-v2, 0.973214, 0.056626
Ramaswamy-2001_database, 0.668421, 0.153044
Shipp-2002-v1, 0.882143, 0.115175
Tomlins-2006-v2, 0.736667, 0.212378
Pomeroy-2002-v2, 0.780000, 0.141814
Tomlins-2006-v1, 0.757273, 0.099775
Risinger-2003, 0.635000, 0.143469
Pomeroy-2002-v1, 0.883333, 0.153156
West-2001, 0.900000, 0.141421
Su-2001, 0.880065, 0.061584
Yeoh-2002-v2, 0.797667, 0.066866
Yeoh-2002-v1, 0.996000, 0.012649
