Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.860000, 0.169640
Armstrong-2002-v1, 0.944643, 0.071651
Chowdary-2006, 0.980909, 0.040304
Chen-2002, 0.961111, 0.045737
Bredel-2005, 0.880000, 0.139841
Khan-2001_database, 0.976389, 0.049884
Bhattacharjee-2001, 0.931190, 0.062031
Alizadeh-2000-v3, 0.869048, 0.104840
Pomeroy-2002-v1, 0.858333, 0.192650
Alizadeh-2000-v2, 1.000000, 0.000000
Bittner-2000, 0.866667, 0.185093
Armstrong-2002-v2, 0.942857, 0.073771
Pomeroy-2002-v2, 0.740000, 0.210555
Liang-2005, 0.975000, 0.079057
Nutt-2003-v3, 0.900000, 0.210819
Nutt-2003-v2, 0.933333, 0.140546
Gordon-2002, 0.994444, 0.017568
Shipp-2002-v1, 0.883929, 0.129113
Lapointe-2004-v1, 0.752381, 0.138013
Golub-1999-v2, 0.946429, 0.091054
Risinger-2003, 0.755000, 0.263997
Nutt-2003-v1, 0.780000, 0.257337
Ramaswamy-2001_database, 0.663158, 0.149278
Golub-1999-v1, 1.000000, 0.000000
Lapointe-2004-v2, 0.781818, 0.063564
Laiho-2007_database, 0.875000, 0.212459
Singh-2002, 0.832727, 0.095173
Yeoh-2002-v2, 0.745667, 0.089664
Tomlins-2006-v1, 0.846364, 0.082595
Su-2001, 0.873856, 0.070077
Garber-2001, 0.785714, 0.139285
Dyrskjot-2003, 0.850000, 0.210819
West-2001, 0.920000, 0.103280
Yeoh-2002-v1, 0.992000, 0.016865
Tomlins-2006-v2, 0.805556, 0.139296
