Data Set, Avg Accuracy, Std. Dev
Armstrong-2002-v1, 0.667857, 0.062543
Alizadeh-2000-v1, 0.480000, 0.042164
Bittner-2000, 0.466667, 0.070273
Alizadeh-2000-v2, 0.676190, 0.020078
Bredel-2005, 0.620000, 0.063246
Chowdary-2006, 0.596364, 0.030665
Armstrong-2002-v2, 0.389286, 0.058805
Nutt-2003-v2, 0.366667, 0.070273
Alizadeh-2000-v3, 0.323810, 0.020078
Pomeroy-2002-v1, 0.733333, 0.102439
Khan-2001_database, 0.350000, 0.040254
Nutt-2003-v3, 0.683333, 0.228387
Nutt-2003-v1, 0.200000, 0.000000
Golub-1999-v2, 0.528571, 0.060234
Singh-2002, 0.509091, 0.019165
Lapointe-2004-v1, 0.566667, 0.057010
Chen-2002, 0.675490, 0.157941
Gordon-2002, 0.828947, 0.013870
Laiho-2007_database, 0.791667, 0.112834
Golub-1999-v1, 0.653571, 0.066921
Risinger-2003, 0.455000, 0.083166
Pomeroy-2002-v2, 0.240000, 0.021082
West-2001, 0.510000, 0.099443
Garber-2001, 0.609524, 0.049181
Bhattacharjee-2001, 0.695000, 0.041611
Dyrskjot-2003, 0.500000, 0.000000
Liang-2005, 0.775000, 0.184466
Shipp-2002-v1, 0.753571, 0.039304
Tomlins-2006-v2, 0.437778, 0.193672
Tomlins-2006-v1, 0.787273, 0.179285
Lapointe-2004-v2, 0.781818, 0.201919
Ramaswamy-2001_database, 0.747368, 0.073601
Yeoh-2002-v2, 0.839167, 0.111375
Yeoh-2002-v1, 0.826667, 0.018592
Su-2001, 0.891176, 0.049178
