Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.905000, 0.123491
Bittner-2000, 0.683333, 0.228387
Bredel-2005, 0.880000, 0.103280
Armstrong-2002-v1, 0.957143, 0.069007
Alizadeh-2000-v3, 0.857143, 0.139737
Alizadeh-2000-v2, 1.000000, 0.000000
Armstrong-2002-v2, 0.930357, 0.099762
Chowdary-2006, 0.972727, 0.043913
Nutt-2003-v2, 0.833333, 0.235702
Pomeroy-2002-v1, 0.800000, 0.185093
Khan-2001_database, 1.000000, 0.000000
Golub-1999-v2, 1.000000, 0.000000
Bhattacharjee-2001, 0.935476, 0.062718
Lapointe-2004-v1, 0.740476, 0.129173
Garber-2001, 0.742857, 0.136453
Chen-2002, 0.966667, 0.028689
Nutt-2003-v3, 0.800000, 0.258199
Nutt-2003-v1, 0.720000, 0.168655
Liang-2005, 0.975000, 0.079057
Golub-1999-v1, 0.971429, 0.060234
Laiho-2007_database, 0.891667, 0.184466
Dyrskjot-2003, 0.875000, 0.176777
Pomeroy-2002-v2, 0.785000, 0.184165
Risinger-2003, 0.760000, 0.225832
Gordon-2002, 0.988889, 0.035136
Singh-2002, 0.850909, 0.118314
West-2001, 0.915000, 0.110680
Ramaswamy-2001_database, 0.694737, 0.077670
Lapointe-2004-v2, 0.745455, 0.103208
Tomlins-2006-v1, 0.811818, 0.125093
Shipp-2002-v1, 0.925000, 0.105409
Tomlins-2006-v2, 0.761111, 0.159496
Su-2001, 0.890850, 0.042167
Yeoh-2002-v2, 0.785833, 0.088000
Yeoh-2002-v1, 0.983833, 0.020877
