Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1,0.81,0.155991
Alizadeh-2000-v2,1,0
Alizadeh-2000-v3,0.821429,0.096061
Armstrong-2002-v1,0.946429,0.091054
Armstrong-2002-v2,0.917857,0.092291
Bhattacharjee-2001,0.925952,0.067338
Bittner-2000,0.758333,0.190232
Bredel-2005,0.86,0.13499
Chen-2002,0.944444,0.06929
Chowdary-2006,0.980909,0.040304
Dyrskjot-2003,0.85,0.174801
Garber-2001,0.711905,0.082822
Golub-1999-v1,1,0
Golub-1999-v2,0.985714,0.045175
Gordon-2002,1,0
Khan-2001_database,0.9875,0.039528
Laiho-2007_database,0.875,0.176777
Lapointe-2004-v1,0.72381,0.107187
Lapointe-2004-v2,0.727273,0.060606
Liang-2005,0.975,0.079057
Nutt-2003-v1,0.72,0.234758
Nutt-2003-v2,0.8,0.269888
Nutt-2003-v3,0.733333,0.238307
Pomeroy-2002-v1,0.766667,0.241523
Pomeroy-2002-v2,0.835,0.149164
Ramaswamy-2001_database,0.673684,0.095449
Risinger-2003,0.71,0.146818
Shipp-2002-v1,0.898214,0.099264
Singh-2002,0.756364,0.203586
Su-2001,0.875163,0.08166
Tomlins-2006-v1,0.794545,0.138349
Tomlins-2006-v2,0.741111,0.176387
West-2001,0.875,0.143856
Yeoh-2002-v1,0.979833,0.02842
Yeoh-2002-v2,0.774,0.079533
