Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.950000, 0.105409
Armstrong-2002-v1, 0.973214, 0.056626
Chowdary-2006, 0.931818, 0.081678
Bredel-2005, 0.840000, 0.157762
Bittner-2000, 0.791667, 0.201269
Alizadeh-2000-v2, 0.985714, 0.045175
Alizadeh-2000-v3, 0.869048, 0.069416
Chen-2002, 0.905229, 0.045439
Armstrong-2002-v2, 0.944643, 0.098331
Pomeroy-2002-v1, 0.883333, 0.193250
Khan-2001_database, 0.891667, 0.070456
Nutt-2003-v2, 0.850000, 0.199536
Bhattacharjee-2001, 0.950714, 0.032570
Pomeroy-2002-v2, 0.815000, 0.181123
Nutt-2003-v3, 1.000000, 0.000000
Lapointe-2004-v1, 0.723810, 0.107187
Golub-1999-v2, 0.957143, 0.069007
Nutt-2003-v1, 0.740000, 0.189737
West-2001, 0.860000, 0.164655
Liang-2005, 0.875000, 0.176777
Shipp-2002-v1, 0.764286, 0.123086
Risinger-2003, 0.645000, 0.224165
Laiho-2007_database, 0.925000, 0.120761
Gordon-2002, 0.994444, 0.017568
Golub-1999-v1, 0.975000, 0.079057
Tomlins-2006-v2, 0.705556, 0.140081
Garber-2001, 0.769048, 0.200481
Dyrskjot-2003, 0.800000, 0.258199
Lapointe-2004-v2, 0.727273, 0.128565
Singh-2002, 0.745455, 0.118763
Tomlins-2006-v1, 0.759091, 0.123631
Ramaswamy-2001_database, 0.621053, 0.121040
Yeoh-2002-v2, 0.658000, 0.086687
Su-2001, 0.901634, 0.078589
Yeoh-2002-v1, 0.963667, 0.035502
