Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.705000, 0.199235
Bittner-2000, 0.475000, 0.162209
Bredel-2005, 0.760000, 0.227058
Armstrong-2002-v1, 0.916071, 0.072438
Chowdary-2006, 0.901818, 0.105479
Pomeroy-2002-v1, 0.850000, 0.161015
Alizadeh-2000-v2, 0.907143, 0.131109
Nutt-2003-v2, 0.683333, 0.404069
Chen-2002, 0.843791, 0.050458
Nutt-2003-v3, 0.666667, 0.333333
Armstrong-2002-v2, 0.719643, 0.160615
Alizadeh-2000-v3, 0.597619, 0.203413
Khan-2001_database, 0.840278, 0.085929
Nutt-2003-v1, 0.580000, 0.220101
Pomeroy-2002-v2, 0.590000, 0.172884
Risinger-2003, 0.485000, 0.213503
Golub-1999-v2, 0.864286, 0.122625
Lapointe-2004-v1, 0.752381, 0.153567
West-2001, 0.860000, 0.134990
Gordon-2002, 0.955556, 0.043823
Golub-1999-v1, 0.780357, 0.128783
Laiho-2007_database, 0.775000, 0.248607
Bhattacharjee-2001, 0.857143, 0.066902
Shipp-2002-v1, 0.782143, 0.103373
Liang-2005, 0.783333, 0.204879
Garber-2001, 0.759524, 0.131588
Tomlins-2006-v2, 0.655556, 0.217228
Dyrskjot-2003, 0.825000, 0.120761
Singh-2002, 0.784545, 0.138737
Tomlins-2006-v1, 0.646364, 0.137500
Ramaswamy-2001_database, 0.557895, 0.108715
Lapointe-2004-v2, 0.672727, 0.149686
Yeoh-2002-v2, 0.674167, 0.113907
Su-2001, 0.735948, 0.053628
Yeoh-2002-v1, 0.984000, 0.027968
