Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.850000, 0.174801
Bittner-2000, 0.866667, 0.185093
Bredel-2005, 0.880000, 0.103280
Armstrong-2002-v1, 0.971429, 0.060234
Alizadeh-2000-v3, 0.907143, 0.131109
Alizadeh-2000-v2, 1.000000, 0.000000
Armstrong-2002-v2, 0.973214, 0.056626
Chowdary-2006, 0.970000, 0.048305
Nutt-2003-v2, 0.866667, 0.172133
Pomeroy-2002-v1, 0.875000, 0.226521
Khan-2001_database, 1.000000, 0.000000
Golub-1999-v2, 0.971429, 0.060234
Bhattacharjee-2001, 0.970476, 0.041303
Lapointe-2004-v1, 0.697619, 0.168751
Garber-2001, 0.771429, 0.106598
Chen-2002, 0.983007, 0.027377
Nutt-2003-v3, 0.833333, 0.222222
Nutt-2003-v1, 0.780000, 0.147573
Liang-2005, 0.950000, 0.105409
Laiho-2007_database, 0.950000, 0.105409
Golub-1999-v1, 0.973214, 0.056626
Dyrskjot-2003, 0.900000, 0.129099
Pomeroy-2002-v2, 0.865000, 0.151015
Risinger-2003, 0.785000, 0.206895
Gordon-2002, 0.988889, 0.023424
Singh-2002, 0.853636, 0.093346
West-2001, 0.935000, 0.105541
Ramaswamy-2001_database, 0.705263, 0.075255
Lapointe-2004-v2, 0.772727, 0.047913
Tomlins-2006-v1, 0.818182, 0.081312
Shipp-2002-v1, 0.937500, 0.088388
Tomlins-2006-v2, 0.772222, 0.126930
Su-2001, 0.914706, 0.076088
Yeoh-2002-v2, 0.847000, 0.074506
Yeoh-2002-v1, 0.991833, 0.017221
