Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.885000, 0.154650
Bittner-2000, 0.758333, 0.252915
Bredel-2005, 0.880000, 0.139841
Armstrong-2002-v1, 0.933929, 0.091462
Alizadeh-2000-v3, 0.845238, 0.156432
Alizadeh-2000-v2, 1.000000, 0.000000
Armstrong-2002-v2, 0.944643, 0.071651
Bhattacharjee-2001, 0.930238, 0.053852
Chowdary-2006, 0.981818, 0.038331
Nutt-2003-v2, 0.900000, 0.161015
Pomeroy-2002-v1, 0.866667, 0.185093
Khan-2001_database, 0.987500, 0.039528
Golub-1999-v2, 1.000000, 0.000000
Lapointe-2004-v1, 0.680952, 0.147286
Garber-2001, 0.730952, 0.107099
Chen-2002, 0.977451, 0.029126
Liang-2005, 0.975000, 0.079057
Nutt-2003-v3, 0.883333, 0.193250
Nutt-2003-v1, 0.740000, 0.164655
Laiho-2007_database, 0.925000, 0.168737
Golub-1999-v1, 0.985714, 0.045175
Dyrskjot-2003, 0.900000, 0.129099
Pomeroy-2002-v2, 0.810000, 0.155991
Risinger-2003, 0.735000, 0.127039
West-2001, 0.955000, 0.095598
Gordon-2002, 0.994444, 0.017568
Singh-2002, 0.880909, 0.079189
Lapointe-2004-v2, 0.727273, 0.135519
Ramaswamy-2001_database, 0.736842, 0.113697
Tomlins-2006-v1, 0.789091, 0.096095
Shipp-2002-v1, 0.896429, 0.080654
Tomlins-2006-v2, 0.855556, 0.148610
Su-2001, 0.907516, 0.062956
Yeoh-2002-v2, 0.838833, 0.056230
Yeoh-2002-v1, 0.992000, 0.016865
