Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.715000, 0.252817
Bittner-2000, 0.708333, 0.242956
Bredel-2005, 0.860000, 0.134990
Armstrong-2002-v1, 0.930357, 0.073603
Alizadeh-2000-v2, 1.000000, 0.000000
Alizadeh-2000-v3, 0.838095, 0.130313
Armstrong-2002-v2, 0.930357, 0.073603
Chowdary-2006, 0.980000, 0.042164
Nutt-2003-v2, 0.683333, 0.253981
Pomeroy-2002-v1, 0.675000, 0.209534
Khan-2001_database, 0.987500, 0.039528
Bhattacharjee-2001, 0.887143, 0.056167
Golub-1999-v2, 0.958929, 0.066310
Chen-2002, 0.899346, 0.068442
Lapointe-2004-v1, 0.697619, 0.121949
Nutt-2003-v1, 0.640000, 0.206559
Nutt-2003-v3, 0.733333, 0.238307
Garber-2001, 0.761905, 0.153485
Liang-2005, 0.975000, 0.079057
Pomeroy-2002-v2, 0.640000, 0.242441
Golub-1999-v1, 0.960714, 0.086586
Laiho-2007_database, 0.816667, 0.210819
Risinger-2003, 0.550000, 0.269774
Dyrskjot-2003, 0.775000, 0.184466
Gordon-2002, 0.961111, 0.045737
West-2001, 0.835000, 0.159948
Singh-2002, 0.784545, 0.127493
Ramaswamy-2001_database, 0.652632, 0.119504
Tomlins-2006-v1, 0.778182, 0.154409
Lapointe-2004-v2, 0.672727, 0.076661
Shipp-2002-v1, 0.835714, 0.174111
Tomlins-2006-v2, 0.730000, 0.200141
Su-2001, 0.856209, 0.041308
Yeoh-2002-v2, 0.725667, 0.046456
Yeoh-2002-v1, 0.959667, 0.037719
