Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.855000, 0.172321
Armstrong-2002-v1, 0.667857, 0.062543
Chowdary-2006, 0.805455, 0.135058
Chen-2002, 0.866013, 0.091322
Bittner-2000, 0.783333, 0.119153
Bredel-2005, 0.780000, 0.147573
Alizadeh-2000-v2, 0.902381, 0.084329
Khan-2001_database, 0.761111, 0.124019
Nutt-2003-v2, 0.333333, 0.207870
Armstrong-2002-v2, 0.389286, 0.058805
Pomeroy-2002-v1, 0.758333, 0.132928
Bhattacharjee-2001, 0.724286, 0.022887
Alizadeh-2000-v3, 0.852381, 0.145825
Nutt-2003-v3, 0.350000, 0.253981
Gordon-2002, 0.828947, 0.013870
Pomeroy-2002-v2, 0.240000, 0.021082
Singh-2002, 0.755455, 0.181740
Lapointe-2004-v1, 0.692857, 0.178333
Liang-2005, 0.775000, 0.184466
Nutt-2003-v1, 0.220000, 0.175119
Shipp-2002-v1, 0.766071, 0.115865
Golub-1999-v2, 0.571429, 0.130410
Laiho-2007_database, 0.791667, 0.112834
Risinger-2003, 0.620000, 0.167000
Golub-1999-v1, 0.667857, 0.091906
West-2001, 0.550000, 0.084984
Lapointe-2004-v2, 0.681818, 0.123091
Tomlins-2006-v2, 0.706667, 0.147610
Garber-2001, 0.700000, 0.171399
Dyrskjot-2003, 0.500000, 0.000000
Ramaswamy-2001_database, 0.178947, 0.027179
Yeoh-2002-v2, 0.350833, 0.065401
Tomlins-2006-v1, 0.741818, 0.138017
Yeoh-2002-v1, 0.790000, 0.055266
Su-2001, 0.260131, 0.073466
