Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.760000, 0.192642
Armstrong-2002-v1, 0.987500, 0.039528
Bredel-2005, 0.860000, 0.134990
Bittner-2000, 0.791667, 0.261318
Alizadeh-2000-v2, 1.000000, 0.000000
Alizadeh-2000-v3, 0.840476, 0.104117
Armstrong-2002-v2, 0.932143, 0.114744
Chowdary-2006, 0.941818, 0.050197
Pomeroy-2002-v1, 0.791667, 0.246112
Nutt-2003-v2, 0.800000, 0.219427
Khan-2001_database, 0.977778, 0.046849
Bhattacharjee-2001, 0.945952, 0.036353
Golub-1999-v2, 0.985714, 0.045175
Lapointe-2004-v1, 0.728571, 0.171031
Chen-2002, 0.938562, 0.055219
Garber-2001, 0.730952, 0.143319
Nutt-2003-v3, 0.783333, 0.236356
Nutt-2003-v1, 0.780000, 0.175119
Liang-2005, 0.975000, 0.079057
Laiho-2007_database, 0.875000, 0.176777
Golub-1999-v1, 0.985714, 0.045175
Pomeroy-2002-v2, 0.855000, 0.125720
Dyrskjot-2003, 0.900000, 0.129099
Risinger-2003, 0.715000, 0.149164
Shipp-2002-v1, 0.885714, 0.124631
Gordon-2002, 0.988889, 0.023424
West-2001, 0.920000, 0.139841
Singh-2002, 0.779091, 0.156819
Lapointe-2004-v2, 0.754545, 0.135858
Tomlins-2006-v1, 0.824545, 0.134434
Tomlins-2006-v2, 0.792222, 0.111610
Ramaswamy-2001_database, 0.668421, 0.119118
Su-2001, 0.884967, 0.082254
Yeoh-2002-v2, 0.798500, 0.092110
Yeoh-2002-v1, 0.984000, 0.020656
