Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.865000, 0.151015
Armstrong-2002-v1, 0.957143, 0.096421
Bittner-2000, 0.683333, 0.301232
Alizadeh-2000-v2, 0.921429, 0.132827
Bredel-2005, 0.740000, 0.189737
Alizadeh-2000-v3, 0.709524, 0.166402
Armstrong-2002-v2, 0.821429, 0.130410
Bhattacharjee-2001, 0.905714, 0.060466
Chowdary-2006, 0.933636, 0.078560
Nutt-2003-v2, 0.783333, 0.333796
Pomeroy-2002-v1, 0.733333, 0.187577
Khan-2001_database, 0.879167, 0.098656
Golub-1999-v2, 0.817857, 0.119285
Lapointe-2004-v1, 0.754762, 0.133772
Garber-2001, 0.771429, 0.132423
Liang-2005, 0.875000, 0.176777
Nutt-2003-v3, 0.866667, 0.219427
Chen-2002, 0.916340, 0.059847
Nutt-2003-v1, 0.580000, 0.198886
Laiho-2007_database, 0.791667, 0.163158
Golub-1999-v1, 0.889286, 0.143303
Gordon-2002, 0.955848, 0.035046
Dyrskjot-2003, 0.775000, 0.184466
Singh-2002, 0.903636, 0.099881
Pomeroy-2002-v2, 0.645000, 0.203374
Risinger-2003, 0.680000, 0.291738
West-2001, 0.855000, 0.138343
Lapointe-2004-v2, 0.772727, 0.098193
Shipp-2002-v1, 0.796429, 0.118511
Tomlins-2006-v1, 0.712727, 0.128222
Tomlins-2006-v2, 0.687778, 0.118571
Ramaswamy-2001_database, 0.657895, 0.090313
Su-2001, 0.832353, 0.102026
Yeoh-2002-v2, 0.491833, 0.073839
Yeoh-2002-v1, 0.919167, 0.038339
