Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.480000, 0.042164
Bittner-2000, 0.533333, 0.172133
Chowdary-2006, 0.802727, 0.176438
Armstrong-2002-v1, 0.944643, 0.071651
Nutt-2003-v2, 0.500000, 0.157135
Chen-2002, 0.871895, 0.078459
Armstrong-2002-v2, 0.737500, 0.136269
Alizadeh-2000-v2, 0.950000, 0.112491
Bredel-2005, 0.700000, 0.235702
Khan-2001_database, 0.913889, 0.118178
Pomeroy-2002-v2, 0.720000, 0.133749
Gordon-2002, 0.977778, 0.038845
Pomeroy-2002-v1, 0.741667, 0.249846
Nutt-2003-v3, 0.616667, 0.314760
West-2001, 0.550000, 0.126930
Nutt-2003-v1, 0.620000, 0.220101
Bhattacharjee-2001, 0.872381, 0.090533
Shipp-2002-v1, 0.871429, 0.083673
Lapointe-2004-v1, 0.769048, 0.152269
Alizadeh-2000-v3, 0.916667, 0.117851
Risinger-2003, 0.575000, 0.129636
Liang-2005, 0.741667, 0.237171
Laiho-2007_database, 0.766667, 0.187577
Singh-2002, 0.666364, 0.175289
Garber-2001, 0.680952, 0.207930
Dyrskjot-2003, 0.650000, 0.241523
Golub-1999-v2, 0.944643, 0.071651
Golub-1999-v1, 0.858929, 0.134805
Tomlins-2006-v2, 0.716667, 0.108012
Lapointe-2004-v2, 0.863636, 0.107137
Yeoh-2002-v2, 0.818667, 0.090805
Yeoh-2002-v1, 0.975333, 0.055870
Tomlins-2006-v1, 0.846364, 0.100545
Ramaswamy-2001_database, 0.657895, 0.105992
Su-2001, 0.907190, 0.068605
